06/09/1991	19:00	Borussia Dortmund	-	1. FC Köln	3:1 (1:1)	
	19:00	Eintracht Frankfurt	-	Stuttgarter Kickers	6:1 (4:0)	
07/09/1991	14:30	SG Wattenscheid 09	-	FC Schalke 04	1:2 (1:1)	
	14:30	Bor. Mönchengladbach	-	Dynamo Dresden	1:0 (1:0)	
	14:30	Bayern München	-	1. FC Kaiserslautern	1:0 (1:0)	
	14:30	1. FC Nürnberg	-	Hamburger SV	1:1 (0:0)	
	14:30	Karlsruher SC	-	Werder Bremen	2:1 (1:1)	
	14:30	Bayer Leverkusen	-	Fortuna Düsseldorf	1:1 (0:1)	
	14:30	VfB Stuttgart	-	VfL Bochum	4:1 (3:1)	
08/09/1991	17:00	MSV Duisburg	-	Hansa Rostock	2:0 (1:0)	
