08/05/1981	19:00	Bor. Mönchengladbach	-	Eintracht Frankfurt	2:2 (0:2)	
	19:00	Fortuna Düsseldorf	-	MSV Duisburg	0:1 (0:1)	
09/05/1981	14:30	Arminia Bielefeld	-	TSV 1860 München	3:2 (1:1)	
	14:30	SV Bayer 04 Leverkusen	-	Hamburger SV	1:2 (1:1)	
	14:30	Bayer 05 Uerdingen	-	1. FC Köln	0:1 (0:0)	
	14:30	Bayern München	-	1. FC Kaiserslautern	3:0 (1:0)	
	14:30	Borussia Dortmund	-	1. FC Nürnberg	1:0 (0:0)	
	14:30	FC Schalke 04	-	VfL Bochum	0:6 (0:2)	
	14:30	VfB Stuttgart	-	Karlsruher SC	5:2 (4:1)	
1		Bayern München	30	18	9	3	71:38	33	45:15
2		Hamburger SV	30	20	5	5	69:38	31	45:15
3		VfB Stuttgart	30	16	7	7	62:41	21	39:21
4		1. FC Kaiserslautern	30	14	9	7	54:36	18	37:23
5		Eintracht Frankfurt	30	13	10	7	55:42	13	36:24
6		VfL Bochum	30	9	14	7	51:38	13	32:28
7		Borussia Dortmund	30	12	7	11	62:53	9	31:29
8		1. FC Köln	30	11	9	10	49:47	2	31:29
9		Bor. Mönchengladbach	30	12	7	11	53:56	-3	31:29
10		MSV Duisburg	30	9	9	12	37:49	-12	27:33
11		Karlsruher SC	30	7	13	10	42:56	-14	27:33
12		SV Bayer 04 Leverkusen	30	8	9	13	45:49	-4	25:35
13		Fortuna Düsseldorf	30	9	7	14	52:57	-5	25:35
14		TSV 1860 München	30	8	6	16	45:58	-13	22:38
15		1. FC Nürnberg	30	9	4	17	41:54	-13	22:38
16		Arminia Bielefeld	30	8	6	16	42:61	-19	22:38
17		FC Schalke 04	30	8	6	16	40:78	-38	22:38
18		Bayer 05 Uerdingen	30	8	5	17	44:63	-19	21:39
