24/09/2010	19:30	1. FC Köln	-	1899 Hoffenheim	1:1 (1:0)	
25/09/2010	14:30	Bayern München	-	1. FSV Mainz 05	1:2 (1:1)	
	14:30	FC Schalke 04	-	Bor. Mönchengladbach	2:2 (0:2)	
	14:30	VfB Stuttgart	-	Bayer Leverkusen	1:4 (0:2)	
	14:30	Eintracht Frankfurt	-	1. FC Nürnberg	2:0 (1:0)	
	14:30	FC St. Pauli	-	Borussia Dortmund	1:3 (1:1)	
	17:30	Werder Bremen	-	Hamburger SV	3:2 (2:0)	
26/09/2010	14:30	VfL Wolfsburg	-	SC Freiburg	2:1 (1:1)	
	16:30	1. FC Kaiserslautern	-	Hannover 96	0:1 (0:1)	
