06/03/1992	19:00	FC Schalke 04	-	SG Wattenscheid 09	1:1 (1:0)	
	19:00	Dynamo Dresden	-	Bor. Mönchengladbach	1:2 (0:1)	
	19:00	Hansa Rostock	-	MSV Duisburg	0:0 (0:0)	
07/03/1992	14:30	1. FC Köln	-	Borussia Dortmund	1:2 (0:0)	
	14:30	1. FC Kaiserslautern	-	Bayern München	4:0 (1:0)	
	14:30	Stuttgarter Kickers	-	Eintracht Frankfurt	0:2 (0:0)	
	14:30	Werder Bremen	-	Karlsruher SC	0:0 (0:0)	
	14:30	Fortuna Düsseldorf	-	Bayer Leverkusen	1:1 (0:0)	
	14:30	VfL Bochum	-	VfB Stuttgart	0:2 (0:0)	
08/03/1992	18:00	Hamburger SV	-	1. FC Nürnberg	0:2 (0:1)	
