22/09/2017	19:30	Bayern München	-	VfL Wolfsburg	2:2 (2:0)	
23/09/2017	14:30	RB Leipzig	-	Eintracht Frankfurt	2:1 (1:0)	
	14:30	1899 Hoffenheim	-	FC Schalke 04	2:0 (1:0)	
	14:30	Werder Bremen	-	SC Freiburg	0:0 (0:0)	
	14:30	1. FSV Mainz 05	-	Hertha BSC	1:0 (0:0)	
	14:30	VfB Stuttgart	-	FC Augsburg	0:0 (0:0)	
	17:30	Borussia Dortmund	-	Bor. Mönchengladbach	6:1 (3:0)	
24/09/2017	14:30	Hannover 96	-	1. FC Köln	0:0 (0:0)	
	17:00	Bayer Leverkusen	-	Hamburger SV	3:0 (2:0)	
1		Borussia Dortmund	6	5	1	0	19:1	18	16
2		1899 Hoffenheim	6	4	2	0	11:5	6	14
3		Bayern München	6	4	1	1	14:5	9	13
4		Hannover 96	6	3	3	0	6:2	4	12
5		FC Augsburg	6	3	2	1	8:4	4	11
6		RB Leipzig	6	3	1	2	10:7	3	10
7		FC Schalke 04	6	3	0	3	7:8	-1	9
8		Hertha BSC	6	2	2	2	6:6	0	8
9		Bor. Mönchengladbach	6	2	2	2	8:11	-3	8
10		Bayer Leverkusen	6	2	1	3	12:10	2	7
11		Eintracht Frankfurt	6	2	1	3	4:5	-1	7
12		VfB Stuttgart	6	2	1	3	3:7	-4	7
13		VfL Wolfsburg	6	1	3	2	5:8	-3	6
14		1. FSV Mainz 05	6	2	0	4	6:10	-4	6
15		Hamburger SV	6	2	0	4	4:11	-7	6
16		SC Freiburg	6	0	4	2	2:9	-7	4
17		Werder Bremen	6	0	3	3	3:7	-4	3
18		1. FC Köln	6	0	1	5	1:13	-12	1
