22/09/1995	19:00	Eintracht Frankfurt	-	Borussia Dortmund	3:4 (3:2)	
	19:00	Fortuna Düsseldorf	-	KFC Uerdingen 05	1:0 (0:0)	
23/09/1995	14:30	1. FC Köln	-	SC Freiburg	1:1 (0:1)	
	14:30	Werder Bremen	-	1. FC Kaiserslautern	1:1 (1:0)	
	14:30	Bayern München	-	Bayer Leverkusen	1:0 (0:0)	
	14:30	VfB Stuttgart	-	Bor. Mönchengladbach	5:0 (2:0)	
	14:30	Hamburger SV	-	Karlsruher SC	0:0 (0:0)	
	14:30	Hansa Rostock	-	FC St. Pauli	2:0 (1:0)	
24/09/1995	17:00	FC Schalke 04	-	TSV 1860 München	1:1 (1:0)	
1		Bayern München	7	7	0	0	19:6	13	21
2		Borussia Dortmund	7	4	2	1	19:12	7	14
3		Bayer Leverkusen	7	3	3	1	10:5	5	12
4		Werder Bremen	7	3	3	1	9:8	1	12
5		Hansa Rostock	7	3	2	2	14:11	3	11
6		FC St. Pauli	7	3	1	3	12:12	0	10
7		FC Schalke 04	7	2	4	1	8:8	0	10
8		Bor. Mönchengladbach	7	3	1	3	10:14	-4	10
9		VfB Stuttgart	7	2	3	2	14:13	1	9
10		Eintracht Frankfurt	7	2	2	3	13:14	-1	8
11		Fortuna Düsseldorf	7	1	5	1	9:10	-1	8
12		Karlsruher SC	7	2	2	3	9:12	-3	8
13		KFC Uerdingen 05	7	1	4	2	5:5	0	7
14		1. FC Köln	7	1	3	3	6:8	-2	6
15		1. FC Kaiserslautern	7	1	3	3	9:13	-4	6
16		Hamburger SV	7	0	5	2	11:13	-2	5
17		TSV 1860 München	7	1	2	4	8:15	-7	5
18		SC Freiburg	7	1	1	5	4:10	-6	4
