22/09/2001	14:30	VfB Stuttgart	-	Hansa Rostock	2:1 (0:1)	
	14:30	Energie Cottbus	-	Bayern München	0:3 (0:2)	
	14:30	SC Freiburg	-	FC Schalke 04	2:0 (0:0)	
	14:30	Borussia Dortmund	-	Bayer Leverkusen	1:1 (1:0)	
	14:30	Hamburger SV	-	Werder Bremen	0:4 (0:2)	
	14:30	1. FC Köln	-	1. FC Nürnberg	1:2 (1:2)	
	14:30	1. FC Kaiserslautern	-	Hertha BSC	4:1 (1:0)	
23/09/2001	16:30	TSV 1860 München	-	VfL Wolfsburg	2:1 (1:0)	
	16:30	Bor. Mönchengladbach	-	FC St. Pauli	2:2 (0:0)	
1		1. FC Kaiserslautern	7	7	0	0	20:7	13	21
2		Bayern München	7	5	1	1	12:2	10	16
3		Bayer Leverkusen	7	4	3	0	14:7	7	15
4		Borussia Dortmund	7	4	1	2	11:4	7	13
5		VfB Stuttgart	7	3	3	1	8:5	3	12
6		FC Schalke 04	7	3	2	2	9:9	0	11
7		Energie Cottbus	7	3	2	2	10:11	-1	11
8		TSV 1860 München	7	3	1	3	8:11	-3	10
9		Bor. Mönchengladbach	7	2	3	2	10:9	1	9
10		SC Freiburg	7	2	2	3	8:8	0	8
11		Werder Bremen	7	2	2	3	10:11	-1	8
12		1. FC Köln	7	2	2	3	7:8	-1	8
13		Hertha BSC	7	2	2	3	8:11	-3	8
14		1. FC Nürnberg	7	2	0	5	6:11	-5	6
15		Hamburger SV	7	1	2	4	9:14	-5	5
16		Hansa Rostock	7	1	2	4	4:11	-7	5
17		FC St. Pauli	7	0	3	4	4:11	-7	3
18		VfL Wolfsburg	7	0	3	4	7:15	-8	3
