12/03/1966	15:00	Bor. Mönchengladbach	-	1. FC Nürnberg	8:3 (5:1)	
	15:00	Borussia Neunkirchen	-	VfB Stuttgart	1:2 (1:1)	
	15:00	TSV 1860 München	-	Werder Bremen	3:1 (2:1)	
	15:00	Tasmania 1900 Berlin	-	1. FC Kaiserslautern	1:1 (0:0)	
	15:00	Hamburger SV	-	FC Schalke 04	1:1 (1:0)	
	15:00	Karlsruher SC	-	Hannover 96	1:0 (1:0)	
	15:00	Borussia Dortmund	-	Bayern München	3:0 (0:0)	
	15:00	Eintracht Braunschweig	-	Meidericher SV	1:0 (0:0)	
18/03/1966	15:00	Frankfurter SG Eintracht	-	1. FC Köln	0:0 (0:0)	
1		Borussia Dortmund	25	16	7	2	57:25	32	39:11
2		TSV 1860 München	25	16	6	3	55:28	27	38:12
3		Bayern München	25	16	4	5	57:27	30	36:14
4		1. FC Köln	25	14	5	6	50:29	21	33:17
5		Werder Bremen	25	15	1	9	52:31	21	31:19
6		1. FC Nürnberg	25	11	7	7	41:34	7	29:21
7		Frankfurter SG Eintracht	25	11	5	9	42:32	10	27:23
8		Hamburger SV	25	10	6	9	52:36	16	26:24
9		Meidericher SV	25	9	6	10	44:35	9	24:26
10		Bor. Mönchengladbach	25	8	8	9	46:44	2	24:26
11		Eintracht Braunschweig	25	8	8	9	36:38	-2	24:26
12		Hannover 96	25	9	4	12	47:39	8	22:28
13		VfB Stuttgart	25	8	6	11	26:33	-7	22:28
14		1. FC Kaiserslautern	25	6	7	12	33:49	-16	19:31
15		Karlsruher SC	25	7	5	13	25:51	-26	19:31
16		FC Schalke 04	25	6	6	13	18:45	-27	18:32
17		Borussia Neunkirchen	25	5	4	16	22:61	-39	14:36
18		Tasmania 1900 Berlin	25	1	3	21	11:77	-66	5:45
