11/09/2015	19:30	Bor. Mönchengladbach	-	Hamburger SV	0:3 (0:2)	
12/09/2015	14:30	Bayern München	-	FC Augsburg	2:1 (0:1)	
	14:30	Bayer Leverkusen	-	SV Darmstadt 98	0:1 (0:1)	
	14:30	Hannover 96	-	Borussia Dortmund	2:4 (1:2)	
	14:30	Hertha BSC	-	VfB Stuttgart	2:1 (2:1)	
	14:30	FC Ingolstadt 04	-	VfL Wolfsburg	0:0 (0:0)	
	17:30	Eintracht Frankfurt	-	1. FC Köln	6:2 (4:1)	
13/09/2015	14:30	1899 Hoffenheim	-	Werder Bremen	1:3 (0:1)	
	16:30	FC Schalke 04	-	1. FSV Mainz 05	2:1 (1:1)	
1		Borussia Dortmund	4	4	0	0	15:3	12	12
2		Bayern München	4	4	0	0	12:2	10	12
3		VfL Wolfsburg	4	2	2	0	6:2	4	8
4		Eintracht Frankfurt	4	2	1	1	12:6	6	7
5		FC Schalke 04	4	2	1	1	6:5	1	7
6		Werder Bremen	4	2	1	1	6:6	0	7
7		Hertha BSC	4	2	1	1	5:5	0	7
8		1. FC Köln	4	2	1	1	8:9	-1	7
9		FC Ingolstadt 04	4	2	1	1	2:4	-2	7
10		1. FSV Mainz 05	4	2	0	2	6:4	2	6
11		SV Darmstadt 98	4	1	3	0	4:3	1	6
12		Hamburger SV	4	2	0	2	7:9	-2	6
13		Bayer Leverkusen	4	2	0	2	3:5	-2	6
14		FC Augsburg	4	0	1	3	2:5	-3	1
15		1899 Hoffenheim	4	0	1	3	3:7	-4	1
16		Hannover 96	4	0	1	3	4:10	-6	1
17		VfB Stuttgart	4	0	0	4	5:12	-7	0
18		Bor. Mönchengladbach	4	0	0	4	2:11	-9	0
