21/08/1981	19:00	Bor. Mönchengladbach	-	Karlsruher SC	2:2 (1:0)	
	19:00	MSV Duisburg	-	1. FC Kaiserslautern	3:1 (1:0)	
	19:00	SV Bayer 04 Leverkusen	-	SV Darmstadt 98	3:2 (2:0)	
22/08/1981	14:30	Bayern München	-	Werder Bremen	3:1 (1:1)	
	14:30	Arminia Bielefeld	-	Fortuna Düsseldorf	1:1 (1:0)	
	14:30	VfB Stuttgart	-	Eintracht Braunschweig	2:0 (1:0)	
	14:30	Hamburger SV	-	Borussia Dortmund	2:2 (0:2)	
	14:30	Eintracht Frankfurt	-	1. FC Nürnberg	3:1 (0:0)	
	14:30	VfL Bochum	-	1. FC Köln	3:1 (2:1)	
1		Bayern München	3	3	0	0	11:4	7	6:0
2		VfL Bochum	3	3	0	0	8:1	7	6:0
3		VfB Stuttgart	3	3	0	0	7:2	5	6:0
4		Eintracht Frankfurt	3	2	1	0	7:3	4	5:1
5		Hamburger SV	3	1	2	0	7:5	2	4:2
6		Werder Bremen	3	2	0	1	6:5	1	4:2
7		1. FC Köln	3	2	0	1	5:4	1	4:2
8		MSV Duisburg	3	1	1	1	5:4	1	3:3
9		Bor. Mönchengladbach	3	1	1	1	6:6	0	3:3
10		Arminia Bielefeld	3	0	2	1	2:3	-1	2:4
11		1. FC Kaiserslautern	3	0	2	1	4:6	-2	2:4
12		Karlsruher SC	3	0	2	1	3:5	-2	2:4
13		Eintracht Braunschweig	3	1	0	2	4:7	-3	2:4
14		SV Bayer 04 Leverkusen	3	1	0	2	5:11	-6	2:4
15		SV Darmstadt 98	3	0	1	2	4:6	-2	1:5
16		Fortuna Düsseldorf	3	0	1	2	3:6	-3	1:5
17		Borussia Dortmund	3	0	1	2	2:5	-3	1:5
18		1. FC Nürnberg	3	0	0	3	2:8	-6	0:6
