09/02/2007	19:30	Hannover 96	-	VfL Wolfsburg	2:2 (1:2)	
10/02/2007	14:30	VfB Stuttgart	-	Werder Bremen	4:1 (3:1)	
	14:30	FC Schalke 04	-	Hertha BSC	2:0 (0:0)	
	14:30	Hamburger SV	-	Borussia Dortmund	3:0 (2:0)	
	14:30	Bayer Leverkusen	-	Eintracht Frankfurt	2:2 (1:1)	
	14:30	Bor. Mönchengladbach	-	Alemannia Aachen	0:0 (0:0)	
	14:30	1. FSV Mainz 05	-	Energie Cottbus	4:1 (3:1)	
11/02/2007	16:00	VfL Bochum	-	1. FC Nürnberg	0:2 (0:0)	
	16:00	Bayern München	-	Arminia Bielefeld	1:0 (1:0)	
1		FC Schalke 04	21	15	3	3	38:19	19	48
2		Werder Bremen	21	13	3	5	53:28	25	42
3		VfB Stuttgart	21	12	5	4	37:26	11	41
4		Bayern München	21	11	4	6	33:25	8	37
5		1. FC Nürnberg	21	7	12	2	30:17	13	33
6		Hertha BSC	21	9	6	6	32:33	-1	33
7		Bayer Leverkusen	21	8	5	8	35:33	2	29
8		Hannover 96	21	7	6	8	27:32	-5	27
9		Borussia Dortmund	21	6	7	8	24:28	-4	25
10		VfL Wolfsburg	21	5	9	7	20:24	-4	24
11		Arminia Bielefeld	21	5	8	8	26:26	0	23
12		Eintracht Frankfurt	21	4	11	6	27:35	-8	23
13		Energie Cottbus	21	5	7	9	23:30	-7	22
14		1. FSV Mainz 05	21	4	9	8	17:31	-14	21
15		Alemannia Aachen	21	5	5	11	32:42	-10	20
16		Bor. Mönchengladbach	21	5	5	11	16:26	-10	20
17		VfL Bochum	21	5	5	11	22:33	-11	20
18		Hamburger SV	21	2	12	7	22:26	-4	18
