27/09/1991	19:00	VfL Bochum	-	Bayer Leverkusen	0:2 (0:0)	
	19:00	1. FC Nürnberg	-	Bayern München	1:1 (0:0)	
	19:00	1. FC Köln	-	SG Wattenscheid 09	1:1 (0:0)	
28/09/1991	14:30	Dynamo Dresden	-	MSV Duisburg	0:0 (0:0)	
	14:30	FC Schalke 04	-	Karlsruher SC	3:1 (0:1)	
	14:30	Fortuna Düsseldorf	-	Werder Bremen	0:0 (0:0)	
	14:30	Eintracht Frankfurt	-	Borussia Dortmund	3:0 (1:0)	
	14:30	Hamburger SV	-	VfB Stuttgart	1:1 (1:1)	
	14:30	1. FC Kaiserslautern	-	Bor. Mönchengladbach	4:2 (3:1)	
	14:30	Stuttgarter Kickers	-	Hansa Rostock	1:1 (0:1)	
