07/09/1993	19:00	Bor. Mönchengladbach	-	Bayer Leverkusen	2:2 (1:1)	
	19:00	Borussia Dortmund	-	VfB Leipzig	0:1 (0:1)	
	19:00	1. FC Nürnberg	-	Karlsruher SC	1:1 (1:1)	
08/09/1993	18:30	SG Wattenscheid 09	-	MSV Duisburg	0:2 (0:0)	
	19:00	1. FC Köln	-	Dynamo Dresden	0:1 (0:0)	
	19:00	Hamburger SV	-	VfB Stuttgart	3:2 (2:2)	
	19:00	1. FC Kaiserslautern	-	FC Schalke 04	0:0 (0:0)	
	19:00	Eintracht Frankfurt	-	SC Freiburg	3:0 (2:0)	
09/09/1993	19:15	Werder Bremen	-	Bayern München	1:0 (0:0)	
1		Eintracht Frankfurt	7	6	1	0	21:5	16	13:1
2		Hamburger SV	7	5	1	1	16:9	7	11:3
3		Werder Bremen	7	5	1	1	16:11	5	11:3
4		MSV Duisburg	7	3	4	0	15:8	7	10:4
5		Bayer Leverkusen	7	4	2	1	13:10	3	10:4
6		Bayern München	7	3	2	2	16:8	8	8:6
7		1. FC Kaiserslautern	7	3	2	2	12:8	4	8:6
8		Borussia Dortmund	7	3	1	3	12:9	3	7:7
9		Karlsruher SC	7	2	2	3	8:9	-1	6:8
10		1. FC Köln	7	3	0	4	7:8	-1	6:8
11		VfB Stuttgart	7	1	4	2	13:16	-3	6:8
12		Bor. Mönchengladbach	7	2	2	3	12:16	-4	6:8
13		VfB Leipzig	7	1	4	2	6:10	-4	6:8
14		SG Wattenscheid 09	7	1	2	4	8:13	-5	4:10
15		SC Freiburg	7	1	1	5	10:16	-6	3:11
16		FC Schalke 04	7	1	1	5	6:15	-9	3:11
17		1. FC Nürnberg	7	1	1	5	6:17	-11	3:11
18		Dynamo Dresden	7	1	3	3	6:15	-9	1:13
