27/11/1965	14:00	1. FC Köln	-	Borussia Dortmund	1:2 (1:2)	
	14:00	VfB Stuttgart	-	Bayern München	0:1 (0:1)	
	14:00	Meidericher SV	-	Hamburger SV	3:1 (0:0)	
	14:00	FC Schalke 04	-	Hannover 96	1:0 (1:0)	
	14:00	Eintracht Braunschweig	-	Borussia Neunkirchen	1:2 (0:0)	
	14:00	Werder Bremen	-	Bor. Mönchengladbach	2:0 (0:0)	
	14:00	TSV 1860 München	-	Karlsruher SC	2:0 (1:0)	
	14:00	Frankfurter SG Eintracht	-	Tasmania 1900 Berlin	4:0 (1:0)	
03/12/1965	05:00	1. FC Kaiserslautern	-	1. FC Nürnberg	0:0 (0:0)	
