15/10/1969	19:00	Bor. Mönchengladbach	-	MSV Duisburg	4:1 (2:1)	
	19:00	Eintracht Frankfurt	-	Werder Bremen	2:1 (0:0)	
	19:00	Hamburger SV	-	VfB Stuttgart	1:3 (1:3)	
	19:00	1. FC Kaiserslautern	-	Eintracht Braunschweig	2:0 (0:0)	
	19:00	Rot-Weiß Oberhausen	-	Hertha BSC	3:1 (1:0)	
	19:00	Borussia Dortmund	-	Rot-Weiss Essen	4:1 (2:1)	
	19:00	FC Schalke 04	-	Alemannia Aachen	3:0 (1:0)	
	19:00	Hannover 96	-	1. FC Köln	3:4 (1:4)	
18/10/1969	14:30	Bayern München	-	TSV 1860 München	2:0 (2:0)	
