19/10/2007	19:30	Energie Cottbus	-	MSV Duisburg	1:2 (0:1)	
20/10/2007	14:30	Werder Bremen	-	Hertha BSC	3:2 (0:0)	
	14:30	Bayer Leverkusen	-	Borussia Dortmund	2:2 (0:1)	
	14:30	1. FC Nürnberg	-	Eintracht Frankfurt	5:1 (1:1)	
	14:30	Hamburger SV	-	VfB Stuttgart	4:1 (3:0)	
	14:30	VfL Bochum	-	Bayern München	1:2 (1:1)	
	14:30	Hansa Rostock	-	FC Schalke 04	1:1 (0:1)	
21/10/2007	16:00	Hannover 96	-	VfL Wolfsburg	2:2 (2:2)	
	16:00	Karlsruher SC	-	Arminia Bielefeld	0:0 (0:0)	
1		Bayern München	10	8	2	0	27:4	23	26
2		Werder Bremen	10	6	2	2	24:16	8	20
3		Hamburger SV	10	6	2	2	16:8	8	20
4		Karlsruher SC	10	6	1	3	13:11	2	19
5		FC Schalke 04	10	4	5	1	16:9	7	17
6		Hannover 96	10	5	2	3	15:15	0	17
7		Bayer Leverkusen	10	4	3	3	14:8	6	15
8		Eintracht Frankfurt	10	4	3	3	12:14	-2	15
9		VfL Wolfsburg	10	3	4	3	15:15	0	13
10		Hertha BSC	10	4	1	5	13:15	-2	13
11		Borussia Dortmund	10	4	1	5	16:19	-3	13
12		Arminia Bielefeld	10	3	2	5	12:22	-10	11
13		Hansa Rostock	10	3	1	6	11:15	-4	10
14		VfB Stuttgart	10	3	1	6	11:18	-7	10
15		1. FC Nürnberg	10	2	3	5	14:17	-3	9
16		VfL Bochum	10	2	3	5	13:17	-4	9
17		MSV Duisburg	10	3	0	7	12:17	-5	9
18		Energie Cottbus	10	0	4	6	6:20	-14	4
