30/08/1991	19:00	FC Schalke 04	-	Bor. Mönchengladbach	3:1 (2:0)	
	19:00	Fortuna Düsseldorf	-	SG Wattenscheid 09	4:3 (1:1)	
	19:00	Werder Bremen	-	MSV Duisburg	5:1 (3:1)	
31/08/1991	14:30	VfL Bochum	-	Borussia Dortmund	0:0 (0:0)	
	14:30	Dynamo Dresden	-	VfB Stuttgart	1:0 (1:0)	
	14:30	Hansa Rostock	-	Bayer Leverkusen	2:2 (1:1)	
	14:30	Hamburger SV	-	Eintracht Frankfurt	2:1 (0:0)	
	14:30	1. FC Kaiserslautern	-	1. FC Nürnberg	3:0 (1:0)	
	14:30	1. FC Köln	-	Bayern München	1:1 (0:1)	
	14:30	Stuttgarter Kickers	-	Karlsruher SC	1:1 (1:1)	
