22/08/1997	19:00	VfL Wolfsburg	-	Hertha BSC	2:1 (1:0)	
	19:00	TSV 1860 München	-	Hansa Rostock	0:1 (0:0)	
23/08/1997	14:30	MSV Duisburg	-	VfB Stuttgart	0:3 (0:1)	
	14:30	1. FC Kaiserslautern	-	FC Schalke 04	3:0 (2:0)	
	14:30	Bayer Leverkusen	-	Karlsruher SC	6:1 (2:1)	
	14:30	Bor. Mönchengladbach	-	1. FC Köln	4:1 (3:0)	
	14:30	Arminia Bielefeld	-	Werder Bremen	3:0 (1:0)	
	14:30	Borussia Dortmund	-	VfL Bochum	5:2 (3:1)	
24/08/1997	17:00	Hamburger SV	-	Bayern München	0:2 (0:1)	
1		1. FC Kaiserslautern	4	3	1	0	5:0	5	10
2		Borussia Dortmund	4	2	1	1	9:4	5	7
3		Bayern München	4	2	1	1	8:4	4	7
4		VfB Stuttgart	4	2	1	1	6:3	3	7
5		Hansa Rostock	4	2	1	1	4:3	1	7
6		Karlsruher SC	4	2	1	1	9:10	-1	7
7		VfL Wolfsburg	4	2	1	1	6:7	-1	7
8		Bayer Leverkusen	4	2	0	2	10:6	4	6
9		Bor. Mönchengladbach	4	1	3	0	9:6	3	6
10		Arminia Bielefeld	4	2	0	2	6:5	1	6
11		FC Schalke 04	4	2	0	2	3:5	-2	6
12		VfL Bochum	4	1	1	2	5:8	-3	4
13		MSV Duisburg	4	1	1	2	3:6	-3	4
14		1. FC Köln	4	1	1	2	4:9	-5	4
15		TSV 1860 München	4	0	3	1	6:7	-1	3
16		Hertha BSC	4	0	2	2	4:6	-2	2
17		Hamburger SV	4	0	2	2	4:7	-3	2
18		Werder Bremen	4	0	2	2	5:10	-5	2
