11/02/1994	18:30	SG Wattenscheid 09	-	Dynamo Dresden	1:1 (1:1)	
	19:00	Bor. Mönchengladbach	-	Karlsruher SC	1:2 (1:0)	
12/02/1994	14:30	Borussia Dortmund	-	Bayer Leverkusen	1:0 (1:0)	
	14:30	Hamburger SV	-	SC Freiburg	1:1 (0:1)	
	14:30	Eintracht Frankfurt	-	1. FC Nürnberg	1:1 (1:1)	
	14:30	Werder Bremen	-	1. FC Kaiserslautern	2:0 (2:0)	
	14:30	MSV Duisburg	-	VfB Leipzig	2:1 (1:0)	
13/02/1994	19:00	Bayern München	-	VfB Stuttgart	1:3 (1:1)	
16/02/1994	19:00	1. FC Köln	-	FC Schalke 04	1:1 (1:1)	
1		Eintracht Frankfurt	21	10	6	5	36:25	11	26:16
2		Bayer Leverkusen	21	9	7	5	40:28	12	25:17
3		Werder Bremen	21	9	7	5	32:23	9	25:17
4		MSV Duisburg	21	9	7	5	28:30	-2	25:17
5		Bayern München	21	8	8	5	43:26	17	24:18
6		1. FC Kaiserslautern	21	10	4	7	39:28	11	24:18
7		Hamburger SV	21	10	4	7	35:30	5	24:18
8		Karlsruher SC	21	7	8	6	29:23	6	22:20
9		Borussia Dortmund	21	8	6	7	30:31	-1	22:20
10		Bor. Mönchengladbach	21	8	5	8	42:40	2	21:21
11		SC Freiburg	21	7	6	8	37:37	0	20:22
12		VfB Stuttgart	21	6	8	7	29:32	-3	20:22
13		1. FC Köln	21	8	4	9	25:29	-4	20:22
14		Dynamo Dresden	21	6	9	6	22:30	-8	17:25
15		1. FC Nürnberg	21	6	4	11	25:34	-9	16:26
16		SG Wattenscheid 09	21	3	9	9	27:39	-12	15:27
17		FC Schalke 04	21	4	7	10	21:35	-14	15:27
18		VfB Leipzig	21	2	9	10	17:37	-20	13:29
