22/09/2015	19:00	Bayern München	-	VfL Wolfsburg	5:1 (0:1)	
	19:00	Hertha BSC	-	1. FC Köln	2:0 (1:0)	
	19:00	FC Ingolstadt 04	-	Hamburger SV	0:1 (0:0)	
	19:00	SV Darmstadt 98	-	Werder Bremen	2:1 (1:1)	
23/09/2015	19:00	FC Schalke 04	-	Eintracht Frankfurt	2:0 (0:0)	
	19:00	Bayer Leverkusen	-	1. FSV Mainz 05	1:0 (0:0)	
	19:00	Bor. Mönchengladbach	-	FC Augsburg	4:2 (4:0)	
	19:00	Hannover 96	-	VfB Stuttgart	1:3 (1:2)	
	19:00	1899 Hoffenheim	-	Borussia Dortmund	1:1 (1:0)	
1		Bayern München	6	6	0	0	20:3	17	18
2		Borussia Dortmund	6	5	1	0	19:4	15	16
3		FC Schalke 04	6	4	1	1	9:5	4	13
4		VfL Wolfsburg	6	3	2	1	9:7	2	11
5		Hertha BSC	6	3	1	2	7:7	0	10
6		Hamburger SV	6	3	1	2	8:9	-1	10
7		1. FC Köln	6	3	1	2	9:11	-2	10
8		FC Ingolstadt 04	6	3	1	2	3:5	-2	10
9		1. FSV Mainz 05	6	3	0	3	9:6	3	9
10		SV Darmstadt 98	6	2	3	1	6:7	-1	9
11		Bayer Leverkusen	6	3	0	3	4:8	-4	9
12		Eintracht Frankfurt	6	2	2	2	12:8	4	8
13		Werder Bremen	6	2	1	3	7:9	-2	7
14		FC Augsburg	6	1	1	4	6:9	-3	4
15		VfB Stuttgart	6	1	0	5	8:14	-6	3
16		Bor. Mönchengladbach	6	1	0	5	6:14	-8	3
17		1899 Hoffenheim	6	0	2	4	5:11	-6	2
18		Hannover 96	6	0	1	5	5:15	-10	1
