28/03/2014	19:30	FC Schalke 04	-	Hertha BSC	2:0 (1:0)	
29/03/2014	14:30	VfB Stuttgart	-	Borussia Dortmund	2:3 (2:1)	
	14:30	Bayern München	-	1899 Hoffenheim	3:3 (3:2)	
	14:30	1. FSV Mainz 05	-	FC Augsburg	3:0 (2:0)	
	14:30	Bayer Leverkusen	-	Eintracht Braunschweig	1:1 (0:0)	
	14:30	VfL Wolfsburg	-	Eintracht Frankfurt	2:1 (0:1)	
	17:30	SC Freiburg	-	1. FC Nürnberg	3:2 (1:2)	
30/03/2014	14:30	Bor. Mönchengladbach	-	Hamburger SV	3:1 (1:1)	
	16:30	Hannover 96	-	Werder Bremen	1:2 (1:0)	
1		Bayern München	28	25	3	0	82:16	66	78
2		Borussia Dortmund	28	17	4	7	62:31	31	55
3		FC Schalke 04	28	16	6	6	53:37	16	54
4		Bayer Leverkusen	28	15	3	10	47:34	13	48
5		VfL Wolfsburg	28	14	5	9	48:42	6	47
6		Bor. Mönchengladbach	28	13	6	9	49:34	15	45
7		1. FSV Mainz 05	28	13	5	10	41:43	-2	44
8		FC Augsburg	28	11	6	11	40:43	-3	39
9		1899 Hoffenheim	28	9	9	10	63:62	1	36
10		Hertha BSC	28	10	6	12	36:39	-3	36
11		Eintracht Frankfurt	28	8	8	12	35:48	-13	32
12		Werder Bremen	28	8	8	12	33:54	-21	32
13		Hannover 96	28	8	5	15	36:51	-15	29
14		SC Freiburg	28	7	8	13	33:50	-17	29
15		1. FC Nürnberg	28	5	11	12	34:52	-18	26
16		VfB Stuttgart	28	6	6	16	42:57	-15	24
17		Hamburger SV	28	6	6	16	43:59	-16	24
18		Eintracht Braunschweig	28	5	7	16	25:50	-25	22
