13/09/1991	19:00	VfL Bochum	-	Bor. Mönchengladbach	3:1 (1:0)	
	19:00	Fortuna Düsseldorf	-	MSV Duisburg	1:1 (0:0)	
	19:00	Hansa Rostock	-	Karlsruher SC	1:2 (0:0)	
14/09/1991	14:30	Dynamo Dresden	-	SG Wattenscheid 09	3:0 (1:0)	
	14:30	FC Schalke 04	-	Bayer Leverkusen	0:0 (0:0)	
	14:30	Hamburger SV	-	Bayern München	1:0 (1:0)	
	14:30	1. FC Kaiserslautern	-	Borussia Dortmund	4:0 (2:0)	
	14:30	1. FC Köln	-	VfB Stuttgart	1:1 (1:1)	
	14:30	Stuttgarter Kickers	-	Werder Bremen	2:1 (0:1)	
15/09/1991	19:30	Eintracht Frankfurt	-	1. FC Nürnberg	2:2 (2:0)	
