13/02/1965	14:00	1. FC Nürnberg	-	TSV 1860 München	2:2 (1:1)	
	14:00	Hamburger SV	-	Werder Bremen	0:4 (0:2)	
	14:00	1. FC Köln	-	Meidericher SV	1:2 (0:0)	
	14:00	Borussia Dortmund	-	FC Schalke 04	4:0 (4:0)	
	14:00	VfB Stuttgart	-	Karlsruher SC	1:2 (0:1)	
	14:00	Frankfurter SG Eintracht	-	Hertha BSC	3:0 (1:0)	
	14:00	Eintracht Braunschweig	-	Hannover 96	2:2 (2:1)	
27/02/1965	14:00	1. FC Kaiserslautern	-	Borussia Neunkirchen	2:0 (1:0)	
1		Werder Bremen	21	10	8	3	38:21	17	28:14
2		1. FC Köln	21	10	6	5	48:33	15	26:16
3		1. FC Nürnberg	21	10	6	5	37:28	9	26:16
4		TSV 1860 München	21	9	7	5	47:30	17	25:17
5		Borussia Dortmund	21	9	5	7	44:33	11	23:19
6		Frankfurter SG Eintracht	21	9	5	7	36:37	-1	23:19
7		Hannover 96	21	9	4	8	30:28	2	22:20
8		Hamburger SV	21	9	4	8	37:39	-2	22:20
9		Meidericher SV	21	9	4	8	30:33	-3	22:20
10		1. FC Kaiserslautern	21	8	3	10	33:39	-6	19:23
11		VfB Stuttgart	21	5	8	8	32:34	-2	18:24
12		Eintracht Braunschweig	21	5	7	9	26:33	-7	17:25
13		Borussia Neunkirchen	21	6	5	10	27:35	-8	17:25
14		Karlsruher SC	21	6	5	10	34:44	-10	17:25
15		Hertha BSC	21	4	8	9	27:45	-18	16:26
16		FC Schalke 04	21	4	7	10	29:43	-14	15:27
