27/03/1992	18:30	MSV Duisburg	-	Dynamo Dresden	3:0 (1:0)	
	19:00	Werder Bremen	-	Fortuna Düsseldorf	2:1 (1:0)	
	19:00	SG Wattenscheid 09	-	1. FC Köln	1:2 (0:2)	
28/03/1992	14:30	Bayer Leverkusen	-	VfL Bochum	2:0 (1:0)	
	14:30	Karlsruher SC	-	FC Schalke 04	1:0 (1:0)	
	14:30	Bayern München	-	1. FC Nürnberg	1:3 (1:2)	
	14:30	Borussia Dortmund	-	Eintracht Frankfurt	2:2 (1:1)	
	14:30	VfB Stuttgart	-	Hamburger SV	3:2 (1:1)	
	14:30	Bor. Mönchengladbach	-	1. FC Kaiserslautern	1:0 (1:0)	
	14:30	Hansa Rostock	-	Stuttgarter Kickers	2:2 (1:0)	
