22/07/1988	19:00	Borussia Dortmund	-	VfB Stuttgart	1:2 (1:1)	
	19:00	Waldhof Mannheim	-	Bayer Leverkusen	1:1 (1:0)	
23/07/1988	14:30	1. FC Köln	-	Bayer 05 Uerdingen	1:1 (1:0)	
	14:30	FC St. Pauli	-	1. FC Nürnberg	0:1 (0:0)	
	14:30	Stuttgarter Kickers	-	VfL Bochum	1:2 (1:1)	
	14:30	Bayern München	-	Eintracht Frankfurt	3:0 (0:0)	
	14:30	Hannover 96	-	Karlsruher SC	2:3 (1:2)	
	14:30	Werder Bremen	-	Hamburger SV	2:1 (0:1)	
	14:30	Bor. Mönchengladbach	-	1. FC Kaiserslautern	4:1 (1:1)	
