21/03/1981	14:30	Hamburger SV	-	Bayern München	2:2 (0:0)	
	14:30	VfL Bochum	-	Bor. Mönchengladbach	1:1 (1:0)	
	14:30	MSV Duisburg	-	Eintracht Frankfurt	0:0 (0:0)	
	14:30	1. FC Nürnberg	-	1. FC Köln	2:1 (0:1)	
	14:30	Karlsruher SC	-	1. FC Kaiserslautern	1:1 (0:1)	
	14:30	Arminia Bielefeld	-	FC Schalke 04	1:0 (0:0)	
	14:30	SV Bayer 04 Leverkusen	-	Fortuna Düsseldorf	2:0 (1:0)	
	14:30	VfB Stuttgart	-	Borussia Dortmund	3:1 (2:0)	
	14:30	TSV 1860 München	-	Bayer 05 Uerdingen	4:0 (3:0)	
