31/03/1978	19:00	VfL Bochum	-	Hamburger SV	2:1 (1:1)	
01/04/1978	14:30	1. FC Saarbrücken	-	Bor. Mönchengladbach	0:1 (0:0)	
	14:30	FC St. Pauli	-	VfB Stuttgart	1:1 (0:0)	
	14:30	Fortuna Düsseldorf	-	1. FC Kaiserslautern	4:1 (3:1)	
	14:30	1. FC Köln	-	Eintracht Frankfurt	0:1 (0:0)	
	14:30	Werder Bremen	-	TSV 1860 München	2:0 (1:0)	
	14:30	Bayern München	-	MSV Duisburg	3:2 (3:0)	
	14:30	Eintracht Braunschweig	-	Hertha BSC	1:1 (0:1)	
	14:30	FC Schalke 04	-	Borussia Dortmund	0:2 (0:1)	
1		1. FC Köln	31	19	4	8	77:40	37	42:20
2		Bor. Mönchengladbach	31	17	8	6	66:41	25	42:20
3		Hertha BSC	31	14	9	8	55:43	12	37:25
4		VfB Stuttgart	31	16	4	11	54:37	17	36:26
5		Fortuna Düsseldorf	31	14	8	9	44:32	12	36:26
6		Eintracht Frankfurt	31	15	4	12	56:48	8	34:28
7		1. FC Kaiserslautern	31	15	4	12	56:56	0	34:28
8		Hamburger SV	31	13	6	12	53:57	-4	32:30
9		FC Schalke 04	31	13	6	12	44:49	-5	32:30
10		MSV Duisburg	31	12	7	12	56:57	-1	31:31
11		Borussia Dortmund	31	13	5	13	51:52	-1	31:31
12		Eintracht Braunschweig	31	13	4	14	40:47	-7	30:32
13		Bayern München	31	10	9	12	59:57	2	29:33
14		VfL Bochum	31	9	9	13	40:45	-5	27:35
15		Werder Bremen	31	11	5	15	41:52	-11	27:35
16		1. FC Saarbrücken	31	6	9	16	37:65	-28	21:41
17		TSV 1860 München	31	6	7	18	37:57	-20	19:43
18		FC St. Pauli	31	6	6	19	43:74	-31	18:44
