16/11/1973	19:00	Eintracht Frankfurt	-	Hannover 96	1:1 (1:1)	
	19:00	MSV Duisburg	-	FC Schalke 04	2:0 (0:0)	
17/11/1973	14:30	Kickers Offenbach	-	Bayern München	2:2 (0:1)	
	14:30	1. FC Köln	-	Werder Bremen	2:0 (1:0)	
	14:30	Hamburger SV	-	Fortuna Köln	4:0 (2:0)	
	14:30	VfL Bochum	-	Rot-Weiss Essen	1:2 (1:2)	
	14:30	1. FC Kaiserslautern	-	Wuppertaler SV	4:0 (1:0)	
	14:30	VfB Stuttgart	-	Hertha BSC	2:0 (0:0)	
	14:30	Bor. Mönchengladbach	-	Fortuna Düsseldorf	1:2 (0:0)	
1		Eintracht Frankfurt	16	9	5	2	34:25	9	23:9
2		Bayern München	16	8	5	3	44:31	13	21:11
3		Bor. Mönchengladbach	16	9	3	4	39:27	12	21:11
4		Fortuna Düsseldorf	16	7	5	4	29:24	5	19:13
5		1. FC Kaiserslautern	16	7	4	5	39:33	6	18:14
6		1. FC Köln	16	6	6	4	27:27	0	18:14
7		VfB Stuttgart	16	7	3	6	34:24	10	17:15
8		Hertha BSC	16	5	7	4	26:25	1	17:15
9		Kickers Offenbach	16	6	4	6	31:31	0	16:16
10		VfL Bochum	16	5	6	5	21:22	-1	16:16
11		Rot-Weiss Essen	16	6	4	6	30:34	-4	16:16
12		Wuppertaler SV	16	5	5	6	22:25	-3	15:17
13		Hamburger SV	16	6	2	8	26:27	-1	14:18
14		Werder Bremen	16	4	6	6	20:26	-6	14:18
15		FC Schalke 04	16	5	3	8	29:38	-9	13:19
16		Fortuna Köln	16	2	7	7	21:33	-12	11:21
17		Hannover 96	16	3	4	9	27:35	-8	10:22
18		MSV Duisburg	16	3	3	10	18:30	-12	9:23
