30/09/1978	14:30	FC Schalke 04	-	VfB Stuttgart	2:3 (0:2)	
	14:30	MSV Duisburg	-	Hertha BSC	3:2 (1:0)	
	14:30	Borussia Dortmund	-	1. FC Köln	0:0 (0:0)	
	14:30	Hamburger SV	-	SV Darmstadt 98	2:1 (1:0)	
	14:30	Fortuna Düsseldorf	-	1. FC Kaiserslautern	2:2 (1:1)	
	14:30	Bayern München	-	Bor. Mönchengladbach	3:1 (1:1)	
	14:30	Arminia Bielefeld	-	Werder Bremen	1:3 (0:2)	
	14:30	Eintracht Frankfurt	-	VfL Bochum	4:2 (2:0)	
	14:30	Eintracht Braunschweig	-	1. FC Nürnberg	3:1 (3:0)	
1		Bayern München	7	5	0	2	21:8	13	10:4
2		1. FC Kaiserslautern	7	3	4	0	16:6	10	10:4
3		Hamburger SV	7	4	2	1	14:6	8	10:4
4		Eintracht Frankfurt	7	5	0	2	13:10	3	10:4
5		Fortuna Düsseldorf	7	3	3	1	17:11	6	9:5
6		FC Schalke 04	7	3	2	2	14:10	4	8:6
7		VfB Stuttgart	7	4	0	3	14:13	1	8:6
8		Eintracht Braunschweig	7	3	2	2	12:13	-1	8:6
9		Borussia Dortmund	7	3	2	2	9:13	-4	8:6
10		VfL Bochum	7	2	3	2	13:11	2	7:7
11		1. FC Köln	7	2	3	2	7:7	0	7:7
12		Bor. Mönchengladbach	7	2	2	3	10:11	-1	6:8
13		Hertha BSC	7	2	1	4	12:13	-1	5:9
14		Werder Bremen	7	2	1	4	9:12	-3	5:9
15		MSV Duisburg	7	2	1	4	9:17	-8	5:9
16		Arminia Bielefeld	7	1	2	4	8:15	-7	4:10
17		1. FC Nürnberg	7	2	0	5	6:17	-11	4:10
18		SV Darmstadt 98	7	0	2	5	8:19	-11	2:12
