20/09/1985	18:30	Bayer Leverkusen	-	VfL Bochum	4:2 (3:0)	
	19:00	Borussia Dortmund	-	Eintracht Frankfurt	4:2 (0:1)	
21/09/1985	14:30	Bayern München	-	1. FC Nürnberg	2:1 (1:1)	
	14:30	Werder Bremen	-	Waldhof Mannheim	2:2 (1:1)	
	14:30	1. FC Kaiserslautern	-	Bayer 05 Uerdingen	5:1 (2:0)	
	14:30	Hannover 96	-	1. FC Saarbrücken	2:0 (1:0)	
	14:30	FC Schalke 04	-	Hamburger SV	1:0 (1:0)	
	14:30	VfB Stuttgart	-	1. FC Köln	5:0 (2:0)	
	14:30	Bor. Mönchengladbach	-	Fortuna Düsseldorf	5:1 (1:0)	
1		Werder Bremen	8	5	3	0	23:10	13	13:3
2		Bayern München	8	5	2	1	17:5	12	12:4
3		Bor. Mönchengladbach	8	5	2	1	20:10	10	12:4
4		Bayer Leverkusen	8	4	2	2	16:10	6	10:6
5		1. FC Kaiserslautern	8	4	2	2	14:10	4	10:6
6		Waldhof Mannheim	8	3	4	1	11:8	3	10:6
7		VfB Stuttgart	8	4	1	3	16:10	6	9:7
8		VfL Bochum	8	4	0	4	18:17	1	8:8
9		Bayer 05 Uerdingen	8	3	2	3	12:18	-6	8:8
10		1. FC Nürnberg	8	3	1	4	15:14	1	7:9
11		Hamburger SV	8	3	1	4	12:11	1	7:9
12		Eintracht Frankfurt	8	1	5	2	8:10	-2	7:9
13		1. FC Köln	8	1	5	2	9:13	-4	7:9
14		FC Schalke 04	8	2	1	5	8:14	-6	5:11
15		1. FC Saarbrücken	8	1	3	4	7:14	-7	5:11
16		Borussia Dortmund	8	1	3	4	10:20	-10	5:11
17		Hannover 96	8	1	3	4	13:26	-13	5:11
18		Fortuna Düsseldorf	8	2	0	6	14:23	-9	4:12
