01/11/1991	18:30	MSV Duisburg	-	Eintracht Frankfurt	3:6 (1:3)	
	19:00	SG Wattenscheid 09	-	Bayern München	0:0 (0:0)	
	19:00	Werder Bremen	-	1. FC Kaiserslautern	0:2 (0:0)	
02/11/1991	14:30	Bor. Mönchengladbach	-	Borussia Dortmund	1:1 (0:0)	
	14:30	FC Schalke 04	-	Dynamo Dresden	1:1 (0:1)	
	14:30	Fortuna Düsseldorf	-	VfL Bochum	3:0 (2:0)	
	14:30	Hansa Rostock	-	1. FC Köln	1:1 (0:1)	
	14:30	Karlsruher SC	-	Hamburger SV	4:1 (2:0)	
	14:30	Bayer Leverkusen	-	1. FC Nürnberg	0:1 (0:0)	
	14:30	VfB Stuttgart	-	Stuttgarter Kickers	3:1 (1:1)	
