29/03/1969	14:30	Alemannia Aachen	-	TSV 1860 München	4:0 (2:0)	
	14:30	Bayern München	-	Werder Bremen	6:0 (2:0)	
	14:30	Hertha BSC	-	Bor. Mönchengladbach	2:1 (1:0)	
	14:30	MSV Duisburg	-	1. FC Nürnberg	1:0 (0:0)	
	14:30	FC Schalke 04	-	Hannover 96	1:1 (1:1)	
	14:30	VfB Stuttgart	-	Borussia Dortmund	2:2 (1:0)	
	14:30	Hamburger SV	-	1. FC Kaiserslautern	3:1 (1:1)	
	14:30	Eintracht Frankfurt	-	Kickers Offenbach	3:2 (1:1)	
03/05/1969	14:30	Eintracht Braunschweig	-	1. FC Köln	2:1 (2:1)	
1		Bayern München	28	14	9	5	51:26	25	37:19
2		VfB Stuttgart	28	13	8	7	51:37	14	34:22
3		Hamburger SV	28	13	8	7	48:40	8	34:22
4		Bor. Mönchengladbach	28	12	8	8	48:34	14	32:24
5		Eintracht Braunschweig	28	12	8	8	38:30	8	32:24
6		TSV 1860 München	28	14	3	11	38:47	-9	31:25
7		Alemannia Aachen	28	12	6	10	48:43	5	30:26
8		MSV Duisburg	28	8	11	9	30:33	-3	27:29
9		Hannover 96	28	8	10	10	40:38	2	26:30
10		FC Schalke 04	28	10	6	12	34:36	-2	26:30
11		Werder Bremen	28	11	4	13	41:45	-4	26:30
12		1. FC Kaiserslautern	28	11	3	14	35:39	-4	25:31
13		Borussia Dortmund	28	9	7	12	39:46	-7	25:31
14		Hertha BSC	28	9	7	12	25:33	-8	25:31
15		1. FC Köln	28	10	5	13	33:47	-14	25:31
16		Eintracht Frankfurt	28	9	6	13	33:38	-5	24:32
17		Kickers Offenbach	28	9	6	13	37:45	-8	24:32
18		1. FC Nürnberg	28	6	9	13	33:45	-12	21:35
