11/09/1965	15:00	Borussia Neunkirchen	-	1. FC Nürnberg	2:1 (1:0)	
	15:00	Karlsruher SC	-	Hamburger SV	1:4 (1:2)	
	15:00	Bor. Mönchengladbach	-	Borussia Dortmund	4:5 (1:1)	
	15:00	Tasmania 1900 Berlin	-	Bayern München	0:2 (0:1)	
	15:00	1. FC Köln	-	FC Schalke 04	2:1 (0:0)	
	15:00	Frankfurter SG Eintracht	-	1. FC Kaiserslautern	6:0 (3:0)	
	15:00	Eintracht Braunschweig	-	Hannover 96	2:1 (0:0)	
	15:00	Werder Bremen	-	Meidericher SV	2:0 (1:0)	
17/09/1965	15:00	TSV 1860 München	-	VfB Stuttgart	0:0 (0:0)	
