07/09/1963	15:30	TSV 1860 München	-	1. FC Köln	1:3 (0:0)	
	15:30	Karlsruher SC	-	Hamburger SV	0:4 (0:3)	
	15:30	Frankfurter SG Eintracht	-	1. FC Nürnberg	2:3 (1:1)	
	15:30	FC Schalke 04	-	Borussia Dortmund	3:1 (1:1)	
	15:30	Werder Bremen	-	VfB Stuttgart	2:2 (1:2)	
	15:30	Hertha BSC	-	1. FC Kaiserslautern	2:2 (0:2)	
	15:30	Preußen Münster	-	Meidericher SV	4:2 (2:0)	
	15:30	1. FC Saarbrücken	-	Eintracht Braunschweig	2:2 (0:1)	
1		1. FC Köln	3	3	0	0	9:1	8	6:0
2		FC Schalke 04	3	3	0	0	8:3	5	6:0
3		Hamburger SV	3	2	1	0	9:3	6	5:1
4		1. FC Nürnberg	3	2	1	0	7:3	4	5:1
5		Eintracht Braunschweig	3	1	2	0	4:3	1	4:2
6		Meidericher SV	3	2	0	1	9:6	3	4:2
7		Preußen Münster	3	1	1	1	5:4	1	3:3
8		VfB Stuttgart	3	1	1	1	4:4	0	3:3
9		Werder Bremen	3	1	1	1	5:7	-2	3:3
10		1. FC Kaiserslautern	3	0	2	1	5:6	-1	2:4
11		TSV 1860 München	3	0	2	1	5:7	-2	2:4
12		Hertha BSC	3	0	2	1	3:5	-2	2:4
13		Borussia Dortmund	3	0	1	2	6:9	-3	1:5
14		1. FC Saarbrücken	3	0	1	2	4:8	-4	1:5
15		Frankfurter SG Eintracht	3	0	1	2	4:7	-3	1:5
16		Karlsruher SC	3	0	0	3	1:12	-11	0:6
