05/12/1991	19:00	FC Schalke 04	-	Eintracht Frankfurt	1:1 (0:1)	
06/12/1991	19:00	Werder Bremen	-	Borussia Dortmund	0:1 (0:1)	
	19:00	Fortuna Düsseldorf	-	1. FC Nürnberg	1:2 (0:1)	
07/12/1991	14:30	Bayer Leverkusen	-	SG Wattenscheid 09	6:1 (3:1)	
	14:30	Hansa Rostock	-	Bayern München	2:1 (0:0)	
	14:30	Dynamo Dresden	-	Hamburger SV	3:0 (2:0)	
	14:30	VfL Bochum	-	1. FC Kaiserslautern	0:0 (0:0)	
	14:30	Stuttgarter Kickers	-	1. FC Köln	0:3 (0:1)	
	14:30	Karlsruher SC	-	VfB Stuttgart	0:0 (0:0)	
08/12/1991	17:00	MSV Duisburg	-	Bor. Mönchengladbach	1:1 (1:0)	
