10/09/1974	19:00	Bor. Mönchengladbach	-	TeBe Berlin	3:1 (1:1)	
11/09/1974	19:00	Werder Bremen	-	1. FC Kaiserslautern	3:1 (0:1)	
	19:00	Hertha BSC	-	Kickers Offenbach	4:1 (1:0)	
	19:00	Eintracht Frankfurt	-	Hamburger SV	1:3 (0:2)	
	19:00	VfB Stuttgart	-	Bayern München	1:2 (0:0)	
	19:00	Wuppertaler SV	-	VfL Bochum	1:1 (0:0)	
	19:00	Eintracht Braunschweig	-	MSV Duisburg	4:1 (1:0)	
	19:00	1. FC Köln	-	Fortuna Düsseldorf	2:2 (2:0)	
	19:00	FC Schalke 04	-	Rot-Weiss Essen	3:0 (0:0)	
1		Hamburger SV	3	3	0	0	7:2	5	6:0
2		Eintracht Braunschweig	3	2	0	1	9:3	6	4:2
3		Fortuna Düsseldorf	3	1	2	0	9:5	4	4:2
4		MSV Duisburg	3	2	0	1	7:5	2	4:2
5		FC Schalke 04	3	2	0	1	5:3	2	4:2
6		Rot-Weiss Essen	3	2	0	1	3:3	0	4:2
7		Bayern München	3	2	0	1	4:8	-4	4:2
8		Hertha BSC	3	1	1	1	8:6	2	3:3
9		Eintracht Frankfurt	3	1	1	1	5:4	1	3:3
10		Bor. Mönchengladbach	3	1	1	1	5:5	0	3:3
11		VfL Bochum	3	1	1	1	4:4	0	3:3
12		Kickers Offenbach	3	1	0	2	7:5	2	2:4
13		1. FC Kaiserslautern	3	1	0	2	4:5	-1	2:4
14		TeBe Berlin	3	1	0	2	5:8	-3	2:4
15		VfB Stuttgart	3	1	0	2	2:6	-4	2:4
16		Werder Bremen	3	1	0	2	3:8	-5	2:4
17		1. FC Köln	3	0	1	2	4:6	-2	1:5
18		Wuppertaler SV	3	0	1	2	2:7	-5	1:5
