19/09/1970	14:30	1. FC Köln	-	Borussia Dortmund	2:2 (1:0)	
	14:30	Bayern München	-	Bor. Mönchengladbach	2:2 (1:0)	
	14:30	FC Schalke 04	-	Rot-Weiss Essen	4:1 (2:1)	
	14:30	Rot-Weiß Oberhausen	-	Eintracht Frankfurt	0:0 (0:0)	
	14:30	Werder Bremen	-	Hertha BSC	0:0 (0:0)	
	14:30	Kickers Offenbach	-	MSV Duisburg	2:0 (2:0)	
	14:30	1. FC Kaiserslautern	-	Hamburger SV	2:0 (1:0)	
	14:30	Eintracht Braunschweig	-	VfB Stuttgart	4:0 (3:0)	
	14:30	Arminia Bielefeld	-	Hannover 96	3:1 (1:1)	
1		Bor. Mönchengladbach	6	3	3	0	13:4	9	9:3
2		Hertha BSC	6	4	1	1	12:7	5	9:3
3		Eintracht Braunschweig	6	3	2	1	11:6	5	8:4
4		FC Schalke 04	6	3	2	1	11:7	4	8:4
5		Hamburger SV	6	3	2	1	11:8	3	8:4
6		Bayern München	6	2	4	0	7:5	2	8:4
7		Rot-Weiss Essen	6	2	3	1	12:9	3	7:5
8		1. FC Köln	6	2	3	1	10:8	2	7:5
9		Borussia Dortmund	6	2	2	2	7:5	2	6:6
10		VfB Stuttgart	6	2	2	2	8:9	-1	6:6
11		1. FC Kaiserslautern	6	3	0	3	8:14	-6	6:6
12		MSV Duisburg	6	1	3	2	4:5	-1	5:7
13		Kickers Offenbach	6	2	1	3	7:9	-2	5:7
14		Eintracht Frankfurt	6	1	3	2	3:5	-2	5:7
15		Arminia Bielefeld	6	1	2	3	6:10	-4	4:8
16		Rot-Weiß Oberhausen	6	0	3	3	7:11	-4	3:9
17		Werder Bremen	6	0	2	4	2:9	-7	2:10
18		Hannover 96	6	0	2	4	3:11	-8	2:10
