29/09/2000	19:15	Eintracht Frankfurt	-	Borussia Dortmund	1:1 (1:0)	
30/09/2000	14:30	Bayern München	-	Hansa Rostock	0:1 (0:1)	
	14:30	1. FC Kaiserslautern	-	Energie Cottbus	1:1 (1:0)	
	14:30	VfL Bochum	-	SpVgg Unterhaching	3:0 (0:0)	
	14:30	Hertha BSC	-	1. FC Köln	4:2 (3:2)	
	14:30	Hamburger SV	-	FC Schalke 04	2:0 (1:0)	
	19:15	Bayer Leverkusen	-	TSV 1860 München	0:0 (0:0)	
01/10/2000	16:30	SC Freiburg	-	Werder Bremen	0:1 (0:0)	
	16:30	VfL Wolfsburg	-	VfB Stuttgart	2:2 (1:1)	
1		Bayern München	7	5	0	2	16:7	9	15
2		FC Schalke 04	7	4	2	1	15:5	10	14
3		Borussia Dortmund	7	4	1	2	13:12	1	13
4		Hertha BSC	7	4	0	3	18:13	5	12
5		TSV 1860 München	7	3	3	1	11:8	3	12
6		Eintracht Frankfurt	7	3	2	2	11:8	3	11
7		Hamburger SV	7	3	2	2	16:14	2	11
8		Bayer Leverkusen	7	3	2	2	8:8	0	11
9		VfL Bochum	7	3	1	3	7:13	-6	10
10		Hansa Rostock	7	3	1	3	4:10	-6	10
11		SC Freiburg	7	2	3	2	10:6	4	9
12		VfL Wolfsburg	7	2	2	3	14:14	0	8
13		Werder Bremen	7	2	2	3	9:9	0	8
14		VfB Stuttgart	7	2	2	3	9:12	-3	8
15		1. FC Kaiserslautern	7	2	2	3	5:8	-3	8
16		1. FC Köln	7	1	2	4	10:13	-3	5
17		SpVgg Unterhaching	7	1	2	4	7:13	-6	5
18		Energie Cottbus	7	1	1	5	7:17	-10	4
