02/05/1997	18:30	Hansa Rostock	-	VfL Bochum	0:0 (0:0)	
	19:00	Fortuna Düsseldorf	-	Arminia Bielefeld	1:2 (1:0)	
03/05/1997	14:30	VfB Stuttgart	-	FC St. Pauli	3:0 (0:0)	
	14:30	Hamburger SV	-	Werder Bremen	3:2 (2:0)	
	14:30	1. FC Köln	-	Karlsruher SC	4:1 (1:1)	
	14:30	Borussia Dortmund	-	FC Schalke 04	1:0 (0:0)	
	14:30	SC Freiburg	-	MSV Duisburg	2:0 (0:0)	
	14:30	Bor. Mönchengladbach	-	Bayer Leverkusen	2:2 (0:2)	
04/05/1997	17:00	TSV 1860 München	-	Bayern München	3:3 (2:1)	
1		Bayern München	30	18	9	3	59:30	29	63
2		Bayer Leverkusen	30	18	6	6	59:37	22	60
3		VfB Stuttgart	30	17	7	6	71:30	41	58
4		Borussia Dortmund	30	17	5	8	57:36	21	56
5		VfL Bochum	30	12	11	7	44:42	2	47
6		TSV 1860 München	30	11	10	9	51:47	4	43
7		Karlsruher SC	30	11	8	11	47:42	5	41
8		Arminia Bielefeld	30	11	7	12	40:42	-2	40
9		FC Schalke 04	30	10	10	10	33:35	-2	40
10		Werder Bremen	30	11	6	13	45:48	-3	39
11		1. FC Köln	30	11	5	14	51:57	-6	38
12		Hamburger SV	30	9	10	11	43:49	-6	37
13		Bor. Mönchengladbach	30	10	6	14	33:39	-6	36
14		MSV Duisburg	30	9	9	12	36:46	-10	36
15		Hansa Rostock	30	9	7	14	31:41	-10	34
16		Fortuna Düsseldorf	30	8	5	17	24:52	-28	29
17		FC St. Pauli	30	7	6	17	31:55	-24	27
18		SC Freiburg	30	6	3	21	38:65	-27	21
