08/01/2021	19:30	Bor. Mönchengladbach	-	Bayern München	3:2 (2:2)	
09/01/2021	14:30	Bayer Leverkusen	-	Werder Bremen	1:1 (0:0)	
	14:30	SC Freiburg	-	1. FC Köln	5:0 (2:0)	
	14:30	1. FC Union Berlin	-	VfL Wolfsburg	2:2 (1:1)	
	14:30	FC Schalke 04	-	1899 Hoffenheim	4:0 (1:0)	
	14:30	1. FSV Mainz 05	-	Eintracht Frankfurt	0:2 (0:1)	
	17:30	RB Leipzig	-	Borussia Dortmund	1:3 (0:0)	
10/01/2021	14:30	FC Augsburg	-	VfB Stuttgart	1:4 (0:2)	
	17:00	Arminia Bielefeld	-	Hertha BSC	1:0 (0:0)	
