15/10/2005	14:30	Hamburger SV	-	VfL Wolfsburg	0:1 (0:1)	
	14:30	FC Schalke 04	-	Bayern München	1:1 (0:1)	
	14:30	1. FC Kaiserslautern	-	Borussia Dortmund	3:3 (1:3)	
	14:30	VfB Stuttgart	-	Bor. Mönchengladbach	1:1 (0:1)	
	14:30	1. FSV Mainz 05	-	Bayer Leverkusen	3:1 (0:0)	
	14:30	Arminia Bielefeld	-	Hertha BSC	3:0 (2:0)	
	14:30	Werder Bremen	-	1. FC Nürnberg	6:2 (3:1)	
16/10/2005	16:30	1. FC Köln	-	Hannover 96	1:4 (0:0)	
	16:30	MSV Duisburg	-	Eintracht Frankfurt	0:1 (0:1)	
1		Werder Bremen	9	7	1	1	27:12	15	22
2		Bayern München	9	7	1	1	18:6	12	22
3		Hamburger SV	9	6	2	1	17:5	12	20
4		FC Schalke 04	9	4	5	0	11:6	5	17
5		Bor. Mönchengladbach	9	4	3	2	11:10	1	15
6		VfL Wolfsburg	9	4	3	2	12:12	0	15
7		Hertha BSC	9	4	2	3	12:12	0	14
8		Borussia Dortmund	9	2	5	2	14:13	1	11
9		VfB Stuttgart	9	2	5	2	10:10	0	11
10		Bayer Leverkusen	9	3	2	4	16:17	-1	11
11		Hannover 96	9	2	4	3	13:13	0	10
12		Arminia Bielefeld	9	2	3	4	9:13	-4	9
13		1. FC Köln	9	3	0	6	12:17	-5	9
14		1. FC Kaiserslautern	9	2	2	5	13:21	-8	8
15		1. FSV Mainz 05	9	2	1	6	8:13	-5	7
16		Eintracht Frankfurt	9	2	1	6	4:12	-8	7
17		MSV Duisburg	9	1	3	5	11:17	-6	6
18		1. FC Nürnberg	9	1	3	5	8:17	-9	6
