12/09/1986	19:00	1. FC Nürnberg	-	Waldhof Mannheim	1:1 (1:0)	
	19:00	FC Schalke 04	-	Blau-Weiß 90 Berlin	3:0 (0:0)	
	19:00	Werder Bremen	-	VfL Bochum	0:0 (0:0)	
13/09/1986	14:30	1. FC Kaiserslautern	-	Bayern München	1:1 (0:1)	
	14:30	1. FC Köln	-	FC 08 Homburg	3:0 (0:0)	
	14:30	Fortuna Düsseldorf	-	Bayer 05 Uerdingen	1:1 (0:1)	
	14:30	Borussia Dortmund	-	VfB Stuttgart	1:2 (0:1)	
	14:30	Bor. Mönchengladbach	-	Eintracht Frankfurt	1:1 (0:0)	
	14:30	Hamburger SV	-	Bayer Leverkusen	2:1 (0:1)	
1		Bayern München	6	4	2	0	14:5	9	10:2
2		Bayer Leverkusen	6	4	1	1	16:5	11	9:3
3		Hamburger SV	6	4	1	1	12:5	7	9:3
4		Werder Bremen	6	4	1	1	12:8	4	9:3
5		VfB Stuttgart	6	3	2	1	15:7	8	8:4
6		1. FC Kaiserslautern	6	2	3	1	12:7	5	7:5
7		Eintracht Frankfurt	6	2	3	1	9:5	4	7:5
8		FC Schalke 04	6	3	1	2	11:11	0	7:5
9		Waldhof Mannheim	6	3	1	2	9:9	0	7:5
10		Borussia Dortmund	6	2	2	2	11:8	3	6:6
11		Bayer 05 Uerdingen	6	2	2	2	10:10	0	6:6
12		VfL Bochum	6	1	4	1	9:10	-1	6:6
13		Bor. Mönchengladbach	6	0	3	3	6:11	-5	3:9
14		1. FC Köln	6	1	1	4	5:12	-7	3:9
15		Blau-Weiß 90 Berlin	6	1	1	4	7:16	-9	3:9
16		FC 08 Homburg	6	1	1	4	4:14	-10	3:9
17		Fortuna Düsseldorf	6	1	1	4	4:17	-13	3:9
18		1. FC Nürnberg	6	0	2	4	8:14	-6	2:10
