11/12/1971	14:30	Rot-Weiß Oberhausen	-	1. FC Kaiserslautern	2:5 (1:1)	
	14:30	Hertha BSC	-	VfL Bochum	1:2 (0:2)	
	14:30	Borussia Dortmund	-	Hannover 96	1:1 (0:1)	
	14:30	Eintracht Frankfurt	-	MSV Duisburg	2:1 (2:0)	
	14:30	Eintracht Braunschweig	-	Arminia Bielefeld	3:2 (2:0)	
	14:30	1. FC Köln	-	Hamburger SV	3:0 (0:0)	
	14:30	Werder Bremen	-	Bor. Mönchengladbach	2:2 (0:1)	
	14:30	FC Schalke 04	-	Bayern München	1:0 (0:0)	
	14:30	Fortuna Düsseldorf	-	VfB Stuttgart	4:0 (2:0)	
1		FC Schalke 04	17	13	2	2	37:14	23	28:6
2		Bayern München	17	10	5	2	47:18	29	25:9
3		Bor. Mönchengladbach	17	10	3	4	47:19	28	23:11
4		1. FC Köln	17	8	6	3	33:23	10	22:12
5		Hamburger SV	17	8	4	5	33:23	10	20:14
6		1. FC Kaiserslautern	17	8	3	6	31:25	6	19:15
7		VfB Stuttgart	17	7	5	5	30:29	1	19:15
8		Eintracht Frankfurt	17	8	3	6	34:35	-1	19:15
9		Hertha BSC	17	6	7	4	22:26	-4	19:15
10		Eintracht Braunschweig	17	4	10	3	20:19	1	18:16
11		Werder Bremen	17	6	5	6	31:24	7	17:17
12		Fortuna Düsseldorf	17	5	4	8	17:23	-6	14:20
13		VfL Bochum	17	7	0	10	27:40	-13	14:20
14		MSV Duisburg	17	4	4	9	18:29	-11	12:22
15		Borussia Dortmund	17	3	5	9	17:43	-26	11:23
16		Rot-Weiß Oberhausen	17	2	5	10	14:36	-22	9:25
17		Hannover 96	17	3	2	12	20:35	-15	8:26
18		Arminia Bielefeld	17	2	5	10	0:0	17	-10:-24
