29/10/1966	15:00	Hannover 96	-	TSV 1860 München	2:2 (1:1)	
	15:00	Bayern München	-	Eintracht Braunschweig	2:0 (1:0)	
	15:00	Karlsruher SC	-	Werder Bremen	4:4 (1:2)	
	15:00	Hamburger SV	-	Meidericher SV	0:0 (0:0)	
	15:00	Bor. Mönchengladbach	-	1. FC Nürnberg	2:0 (1:0)	
	15:00	1. FC Kaiserslautern	-	FC Schalke 04	1:0 (1:0)	
	15:00	Rot-Weiss Essen	-	Frankfurter SG Eintracht	1:1 (0:0)	
	15:00	Fortuna Düsseldorf	-	1. FC Köln	1:3 (0:2)	
29/11/1966	15:00	Borussia Dortmund	-	VfB Stuttgart	1:1 (1:0)	
1		Frankfurter SG Eintracht	11	6	2	3	23:12	11	14:8
2		Eintracht Braunschweig	11	6	2	3	12:7	5	14:8
3		1. FC Kaiserslautern	11	5	4	2	18:14	4	14:8
4		Hamburger SV	11	5	4	2	14:12	2	14:8
5		Rot-Weiss Essen	11	5	3	3	17:14	3	13:9
6		Bayern München	11	5	2	4	22:16	6	12:10
7		Bor. Mönchengladbach	11	4	4	3	18:12	6	12:10
8		Werder Bremen	11	5	1	5	20:16	4	11:11
9		1. FC Nürnberg	11	5	1	5	14:13	1	11:11
10		Meidericher SV	11	3	5	3	10:10	0	11:11
11		Borussia Dortmund	11	4	2	5	15:17	-2	10:12
12		Hannover 96	11	3	4	4	10:14	-4	10:12
13		VfB Stuttgart	11	3	4	4	13:18	-5	10:12
14		1. FC Köln	11	4	2	5	13:19	-6	10:12
15		FC Schalke 04	11	3	3	5	10:15	-5	9:13
16		Fortuna Düsseldorf	11	4	1	6	13:19	-6	9:13
17		TSV 1860 München	11	3	2	6	16:19	-3	8:14
18		Karlsruher SC	11	1	4	6	14:25	-11	6:16
