14/02/1992	18:30	MSV Duisburg	-	Stuttgarter Kickers	1:1 (1:1)	
	19:00	1. FC Nürnberg	-	VfL Bochum	1:0 (0:0)	
	19:00	SG Wattenscheid 09	-	Werder Bremen	0:1 (0:0)	
15/02/1992	14:30	Bayern München	-	Dynamo Dresden	1:2 (0:1)	
	14:30	Borussia Dortmund	-	FC Schalke 04	2:0 (1:0)	
	14:30	VfB Stuttgart	-	Fortuna Düsseldorf	3:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	Hansa Rostock	1:1 (1:0)	
	14:30	Bayer Leverkusen	-	Karlsruher SC	2:0 (0:0)	
	14:30	Eintracht Frankfurt	-	1. FC Köln	1:2 (0:2)	
16/02/1992	18:00	Hamburger SV	-	1. FC Kaiserslautern	0:1 (0:0)	
