30/01/2015	19:30	VfL Wolfsburg	-	Bayern München	4:1 (2:0)	
31/01/2015	14:30	VfB Stuttgart	-	Bor. Mönchengladbach	0:1 (0:0)	
	14:30	FC Schalke 04	-	Hannover 96	1:0 (1:0)	
	14:30	SC Freiburg	-	Eintracht Frankfurt	4:1 (0:1)	
	14:30	Hamburger SV	-	1. FC Köln	0:2 (0:0)	
	14:30	1. FSV Mainz 05	-	SC Paderborn 07	5:0 (1:0)	
	17:30	Bayer Leverkusen	-	Borussia Dortmund	0:0 (0:0)	
01/02/2015	14:30	Werder Bremen	-	Hertha BSC	2:0 (1:0)	
	16:30	FC Augsburg	-	1899 Hoffenheim	3:1 (2:1)	
1		Bayern München	18	14	3	1	42:8	34	45
2		VfL Wolfsburg	18	11	4	3	37:18	19	37
3		Bor. Mönchengladbach	18	8	6	4	26:16	10	30
4		FC Schalke 04	18	9	3	6	29:21	8	30
5		FC Augsburg	18	10	0	8	25:22	3	30
6		Bayer Leverkusen	18	7	8	3	28:20	8	29
7		1899 Hoffenheim	18	7	5	6	30:28	2	26
8		Hannover 96	18	7	3	8	21:27	-6	24
9		Eintracht Frankfurt	18	6	5	7	35:38	-3	23
10		1. FC Köln	18	6	4	8	19:23	-4	22
11		1. FSV Mainz 05	18	4	9	5	24:23	1	21
12		Werder Bremen	18	5	5	8	28:39	-11	20
13		SC Paderborn 07	18	4	7	7	21:31	-10	19
14		SC Freiburg	18	3	9	6	21:26	-5	18
15		Hertha BSC	18	5	3	10	24:37	-13	18
16		Hamburger SV	18	4	5	9	9:21	-12	17
17		VfB Stuttgart	18	4	5	9	20:33	-13	17
18		Borussia Dortmund	18	4	4	10	18:26	-8	16
