11/10/1991	19:00	VfL Bochum	-	Karlsruher SC	1:3 (0:2)	
	19:00	1. FC Nürnberg	-	VfB Stuttgart	4:3 (2:1)	
	19:00	Eintracht Frankfurt	-	Bor. Mönchengladbach	0:0 (0:0)	
12/10/1991	14:30	Dynamo Dresden	-	Werder Bremen	2:1 (2:0)	
	14:30	FC Schalke 04	-	Hansa Rostock	5:0 (2:0)	
	14:30	Bayern München	-	Borussia Dortmund	0:3 (0:1)	
	14:30	Hamburger SV	-	SG Wattenscheid 09	0:1 (0:0)	
	14:30	1. FC Kaiserslautern	-	Bayer Leverkusen	2:1 (0:0)	
	14:30	1. FC Köln	-	MSV Duisburg	1:1 (0:1)	
	14:30	Stuttgarter Kickers	-	Fortuna Düsseldorf	0:1 (0:0)	
