12/04/1985	19:00	VfB Stuttgart	-	Fortuna Düsseldorf	5:2 (1:1)	
	19:00	1. FC Kaiserslautern	-	Karlsruher SC	3:1 (3:0)	
	19:00	Werder Bremen	-	Bor. Mönchengladbach	2:0 (1:0)	
13/04/1985	14:30	1. FC Köln	-	Eintracht Frankfurt	2:0 (2:0)	
	14:30	Eintracht Braunschweig	-	Bayer Leverkusen	0:2 (0:1)	
	14:30	Arminia Bielefeld	-	VfL Bochum	2:3 (1:2)	
	14:30	Bayern München	-	FC Schalke 04	3:0 (1:0)	
15/04/1985	14:30	Borussia Dortmund	-	Waldhof Mannheim	0:0 (0:0)	
14/05/1985	19:00	Bayer 05 Uerdingen	-	Hamburger SV	2:1 (1:1)	
1		Bayern München	27	16	7	4	63:34	29	39:15
2		Werder Bremen	27	14	8	5	71:43	28	36:18
3		Bor. Mönchengladbach	27	13	7	7	65:39	26	33:21
4		Hamburger SV	27	11	9	7	48:39	9	31:23
5		1. FC Köln	27	14	3	10	52:46	6	31:23
6		Bayer 05 Uerdingen	27	12	6	9	49:42	7	30:24
7		Waldhof Mannheim	27	10	10	7	37:38	-1	30:24
8		VfL Bochum	27	10	9	8	45:42	3	29:25
9		VfB Stuttgart	27	12	4	11	69:47	22	28:26
10		FC Schalke 04	27	10	7	10	51:53	-2	27:27
11		1. FC Kaiserslautern	27	8	10	9	36:47	-11	26:28
12		Bayer Leverkusen	27	8	9	10	41:40	1	25:29
13		Eintracht Frankfurt	27	8	9	10	51:56	-5	25:29
14		Borussia Dortmund	27	10	4	13	40:49	-9	24:30
15		Fortuna Düsseldorf	27	7	7	13	43:57	-14	21:33
16		Arminia Bielefeld	27	4	11	12	32:53	-21	19:35
17		Eintracht Braunschweig	27	7	2	18	30:63	-33	16:38
18		Karlsruher SC	27	3	10	14	36:71	-35	16:38
