02/10/1965	15:00	Bor. Mönchengladbach	-	Bayern München	1:2 (1:1)	
	15:00	TSV 1860 München	-	1. FC Köln	2:1 (1:0)	
	15:00	Borussia Dortmund	-	Hamburger SV	2:2 (1:1)	
	15:00	Werder Bremen	-	FC Schalke 04	2:0 (1:0)	
	15:00	Tasmania 1900 Berlin	-	Hannover 96	1:5 (1:3)	
	15:00	Borussia Neunkirchen	-	1. FC Kaiserslautern	1:4 (1:1)	
	15:00	Frankfurter SG Eintracht	-	Meidericher SV	2:0 (0:0)	
	15:00	Eintracht Braunschweig	-	VfB Stuttgart	1:1 (0:0)	
	15:00	Karlsruher SC	-	1. FC Nürnberg	1:2 (1:0)	
1		Bayern München	7	6	0	1	21:5	16	12:2
2		TSV 1860 München	7	5	1	1	15:7	8	11:3
3		Borussia Dortmund	7	5	1	1	17:13	4	11:3
4		Hamburger SV	7	4	2	1	19:8	11	10:4
5		Hannover 96	7	5	0	2	19:10	9	10:4
6		Werder Bremen	7	5	0	2	12:5	7	10:4
7		1. FC Köln	7	4	0	3	13:10	3	8:6
8		1. FC Kaiserslautern	7	3	2	2	14:16	-2	8:6
9		Frankfurter SG Eintracht	7	3	1	3	12:8	4	7:7
10		1. FC Nürnberg	7	3	1	3	14:12	2	7:7
11		Eintracht Braunschweig	7	2	3	2	12:10	2	7:7
12		VfB Stuttgart	7	2	3	2	5:6	-1	7:7
13		Bor. Mönchengladbach	7	1	3	3	14:16	-2	5:9
14		Borussia Neunkirchen	7	1	2	4	5:20	-15	4:10
15		Meidericher SV	7	1	1	5	11:15	-4	3:11
16		FC Schalke 04	7	0	2	5	4:13	-9	2:12
17		Karlsruher SC	7	0	2	5	7:20	-13	2:12
18		Tasmania 1900 Berlin	7	1	0	6	6:26	-20	2:12
