04/10/1991	18:30	MSV Duisburg	-	VfL Bochum	1:1 (0:0)	
	19:00	Borussia Dortmund	-	1. FC Nürnberg	3:2 (2:0)	
	19:00	Karlsruher SC	-	Dynamo Dresden	1:0 (0:0)	
05/10/1991	14:30	SG Wattenscheid 09	-	1. FC Kaiserslautern	1:0 (0:0)	
	14:30	Bor. Mönchengladbach	-	Hamburger SV	1:0 (1:0)	
	14:30	Bayern München	-	Stuttgarter Kickers	1:4 (0:2)	
	14:30	Hansa Rostock	-	Fortuna Düsseldorf	3:1 (1:1)	
	14:30	Werder Bremen	-	FC Schalke 04	2:1 (1:0)	
	14:30	Bayer Leverkusen	-	1. FC Köln	1:1 (0:0)	
	14:30	VfB Stuttgart	-	Eintracht Frankfurt	1:2 (1:0)	
