22/03/1991	19:00	Werder Bremen	-	Eintracht Frankfurt	1:1 (0:0)	
	19:00	Bor. Mönchengladbach	-	Hamburger SV	1:1 (1:1)	
	19:00	VfB Stuttgart	-	Bayer 05 Uerdingen	3:1 (1:0)	
23/03/1991	14:30	Karlsruher SC	-	1. FC Nürnberg	2:0 (1:0)	
	14:30	1. FC Kaiserslautern	-	Bayern München	2:1 (0:1)	
	14:30	Fortuna Düsseldorf	-	Hertha BSC	4:2 (0:0)	
	14:30	VfL Bochum	-	Borussia Dortmund	2:2 (0:2)	
	14:30	FC St. Pauli	-	Bayer Leverkusen	1:0 (1:0)	
	14:30	1. FC Köln	-	SG Wattenscheid 09	1:1 (0:0)	
1		1. FC Kaiserslautern	22	12	6	4	44:31	13	30:14
2		Bayern München	22	12	5	5	48:23	25	29:15
3		Werder Bremen	22	11	7	4	31:20	11	29:15
4		Hamburger SV	22	11	4	7	31:24	7	26:18
5		Eintracht Frankfurt	22	8	9	5	34:23	11	25:19
6		Bayer Leverkusen	22	8	8	6	29:25	4	24:20
7		Borussia Dortmund	22	7	10	5	28:34	-6	24:20
8		1. FC Köln	22	8	7	7	30:20	10	23:21
9		VfB Stuttgart	22	9	4	9	35:31	4	22:22
10		Fortuna Düsseldorf	22	7	8	7	26:29	-3	22:22
11		VfL Bochum	22	6	9	7	30:27	3	21:23
12		Karlsruher SC	22	6	8	8	33:38	-5	20:24
13		SG Wattenscheid 09	22	6	8	8	27:35	-8	20:24
14		Bor. Mönchengladbach	22	4	11	7	27:36	-9	19:25
15		FC St. Pauli	22	4	11	7	20:30	-10	19:25
16		Bayer 05 Uerdingen	22	4	9	9	24:35	-11	17:27
17		1. FC Nürnberg	22	5	6	11	23:35	-12	16:28
18		Hertha BSC	22	2	6	14	19:43	-24	10:34
