20/10/1995	19:00	Bayer Leverkusen	-	FC Schalke 04	0:0 (0:0)	
	19:00	KFC Uerdingen 05	-	Hansa Rostock	1:1 (0:1)	
21/10/1995	14:30	SC Freiburg	-	Hamburger SV	0:3 (0:2)	
	14:30	TSV 1860 München	-	Karlsruher SC	1:1 (0:0)	
	14:30	VfB Stuttgart	-	Eintracht Frankfurt	3:2 (1:1)	
	14:30	FC St. Pauli	-	Bayern München	0:1 (0:1)	
	14:30	Borussia Dortmund	-	1. FC Köln	3:0 (0:0)	
	14:30	1. FC Kaiserslautern	-	Fortuna Düsseldorf	2:0 (1:0)	
22/10/1995	17:00	Bor. Mönchengladbach	-	Werder Bremen	1:0 (0:0)	
1		Bayern München	10	8	0	2	22:11	11	24
2		Borussia Dortmund	10	6	3	1	27:15	12	21
3		Bor. Mönchengladbach	10	6	1	3	17:16	1	19
4		Hansa Rostock	10	4	4	2	20:15	5	16
5		VfB Stuttgart	10	4	4	2	23:19	4	16
6		Bayer Leverkusen	10	3	6	1	14:9	5	15
7		FC Schalke 04	10	3	6	1	11:10	1	15
8		Werder Bremen	10	3	5	2	13:13	0	14
9		Karlsruher SC	10	3	3	4	12:15	-3	12
10		1. FC Kaiserslautern	10	2	5	3	13:15	-2	11
11		FC St. Pauli	10	3	2	5	15:18	-3	11
12		Hamburger SV	10	1	7	2	17:16	1	10
13		TSV 1860 München	10	2	4	4	13:19	-6	10
14		KFC Uerdingen 05	10	1	6	3	7:9	-2	9
15		Fortuna Düsseldorf	10	1	6	3	10:14	-4	9
16		Eintracht Frankfurt	10	2	3	5	18:23	-5	9
17		1. FC Köln	10	1	5	4	9:14	-5	8
18		SC Freiburg	10	1	2	7	5:15	-10	5
