22/08/1975	19:00	1. FC Kaiserslautern	-	Hannover 96	2:2 (0:1)	
	19:00	Bayern München	-	Werder Bremen	4:0 (0:0)	
23/08/1975	14:30	Hamburger SV	-	Bor. Mönchengladbach	0:0 (0:0)	
	14:30	Hertha BSC	-	Karlsruher SC	1:1 (0:0)	
	14:30	MSV Duisburg	-	Kickers Offenbach	6:2 (2:1)	
	14:30	Eintracht Frankfurt	-	Bayer 05 Uerdingen	3:1 (0:1)	
	14:30	Rot-Weiss Essen	-	FC Schalke 04	0:0 (0:0)	
	14:30	VfL Bochum	-	Fortuna Düsseldorf	0:1 (0:1)	
	14:30	Eintracht Braunschweig	-	1. FC Köln	0:0 (0:0)	
1		Bayern München	3	2	1	0	7:2	5	5:1
2		Fortuna Düsseldorf	3	2	1	0	8:4	4	5:1
3		Bor. Mönchengladbach	3	1	2	0	6:3	3	4:2
		Eintracht Braunschweig	3	1	2	0	6:3	3	4:2
5		Eintracht Frankfurt	3	2	0	1	5:4	1	4:2
6		Hamburger SV	3	1	1	1	6:4	2	3:3
7		FC Schalke 04	3	1	1	1	6:5	1	3:3
8		Karlsruher SC	3	1	1	1	4:3	1	3:3
9		MSV Duisburg	3	1	1	1	9:9	0	3:3
10		1. FC Köln	3	1	1	1	3:3	0	3:3
11		Hertha BSC	3	1	1	1	5:7	-2	3:3
12		Rot-Weiss Essen	3	1	1	1	4:6	-2	3:3
13		Kickers Offenbach	3	1	1	1	7:10	-3	3:3
14		Hannover 96	3	0	2	1	6:7	-1	2:4
15		Werder Bremen	3	1	0	2	4:6	-2	2:4
16		1. FC Kaiserslautern	3	0	2	1	4:7	-3	2:4
17		Bayer 05 Uerdingen	3	0	1	2	2:5	-3	1:5
18		VfL Bochum	3	0	1	2	0:4	-4	1:5
