26/08/1988	17:15	FC St. Pauli	-	VfB Stuttgart	2:1 (0:1)	
	19:00	Bayer 05 Uerdingen	-	Eintracht Frankfurt	4:1 (4:0)	
27/08/1988	14:30	1. FC Köln	-	Karlsruher SC	6:1 (2:1)	
	14:30	Stuttgarter Kickers	-	Hamburger SV	2:0 (0:0)	
	14:30	Bayern München	-	1. FC Kaiserslautern	5:1 (2:0)	
	14:30	Hannover 96	-	Bayer Leverkusen	2:2 (1:0)	
	14:30	Borussia Dortmund	-	Bor. Mönchengladbach	0:0 (0:0)	
	14:30	1. FC Nürnberg	-	VfL Bochum	3:1 (1:0)	
	14:30	Waldhof Mannheim	-	Werder Bremen	1:1 (1:0)	
1		Bayern München	5	3	2	0	14:6	8	8:2
2		1. FC Köln	5	3	1	1	10:3	7	7:3
3		VfB Stuttgart	5	3	1	1	12:7	5	7:3
4		Bayer 05 Uerdingen	5	2	3	0	9:5	4	7:3
5		Karlsruher SC	5	3	1	1	12:12	0	7:3
6		Bayer Leverkusen	5	2	2	1	9:7	2	6:4
7		1. FC Nürnberg	5	3	0	2	7:6	1	6:4
8		Werder Bremen	5	2	2	1	7:7	0	6:4
9		Waldhof Mannheim	5	1	3	1	6:4	2	5:5
10		Bor. Mönchengladbach	5	2	1	2	10:9	1	5:5
11		FC St. Pauli	5	2	1	2	5:5	0	5:5
12		VfL Bochum	5	1	2	2	4:6	-2	4:6
13		Stuttgarter Kickers	5	2	0	3	6:10	-4	4:6
14		Hamburger SV	5	1	1	3	4:7	-3	3:7
15		Borussia Dortmund	5	0	3	2	2:5	-3	3:7
16		1. FC Kaiserslautern	5	0	3	2	3:10	-7	3:7
17		Hannover 96	5	0	2	3	7:10	-3	2:8
18		Eintracht Frankfurt	5	1	0	4	3:11	-8	2:8
