21/08/1965	15:00	VfB Stuttgart	-	Meidericher SV	2:0 (1:0)	
	15:00	Hannover 96	-	Werder Bremen	2:1 (0:0)	
	15:00	1. FC Kaiserslautern	-	1. FC Köln	3:2 (1:2)	
	15:00	Bor. Mönchengladbach	-	Tasmania 1900 Berlin	5:0 (1:0)	
	15:00	Hamburger SV	-	Eintracht Braunschweig	2:1 (1:1)	
	15:00	FC Schalke 04	-	Karlsruher SC	0:0 (0:0)	
	15:00	Bayern München	-	Frankfurter SG Eintracht	2:0 (1:0)	
	15:00	Borussia Dortmund	-	Borussia Neunkirchen	1:0 (1:0)	
	15:00	1. FC Nürnberg	-	TSV 1860 München	1:4 (1:3)	
