09/08/1985	19:00	FC Schalke 04	-	Werder Bremen	0:1 (0:1)	
10/08/1985	14:30	Fortuna Düsseldorf	-	Waldhof Mannheim	4:1 (2:1)	
	14:30	1. FC Nürnberg	-	VfL Bochum	0:1 (0:0)	
	14:30	1. FC Köln	-	Eintracht Frankfurt	1:1 (0:0)	
	14:30	Hamburger SV	-	1. FC Kaiserslautern	4:1 (1:1)	
	14:30	1. FC Saarbrücken	-	Borussia Dortmund	1:1 (1:1)	
	14:30	Hannover 96	-	Bayer Leverkusen	1:1 (1:0)	
	14:30	VfB Stuttgart	-	Bor. Mönchengladbach	0:0 (0:0)	
	14:30	Bayer 05 Uerdingen	-	Bayern München	1:0 (1:0)	
