28/02/1992	18:30	MSV Duisburg	-	Werder Bremen	0:0 (0:0)	
	19:00	SG Wattenscheid 09	-	Fortuna Düsseldorf	4:1 (1:1)	
	19:00	Bayer Leverkusen	-	Hansa Rostock	3:0 (1:0)	
29/02/1992	14:30	Borussia Dortmund	-	VfL Bochum	1:1 (0:0)	
	14:30	VfB Stuttgart	-	Dynamo Dresden	1:1 (1:0)	
	14:30	Bor. Mönchengladbach	-	FC Schalke 04	1:1 (0:0)	
	14:30	Eintracht Frankfurt	-	Hamburger SV	2:1 (1:0)	
	14:30	1. FC Nürnberg	-	1. FC Kaiserslautern	3:2 (2:0)	
	14:30	Bayern München	-	1. FC Köln	0:0 (0:0)	
	14:30	Karlsruher SC	-	Stuttgarter Kickers	3:1 (3:0)	
