29/09/2006	19:30	Borussia Dortmund	-	Hannover 96	2:2 (1:0)	
30/09/2006	14:30	Werder Bremen	-	Bor. Mönchengladbach	3:0 (3:0)	
	14:30	1. FC Nürnberg	-	1. FSV Mainz 05	1:1 (1:0)	
	14:30	Arminia Bielefeld	-	Energie Cottbus	3:1 (0:1)	
	14:30	Eintracht Frankfurt	-	Hamburger SV	2:2 (1:0)	
	14:30	VfL Wolfsburg	-	Bayern München	1:0 (1:0)	
	14:30	Alemannia Aachen	-	VfL Bochum	2:1 (0:1)	
01/10/2006	16:00	Bayer Leverkusen	-	FC Schalke 04	3:1 (1:1)	
	16:00	Hertha BSC	-	VfB Stuttgart	2:2 (2:1)	
1		Hertha BSC	6	2	4	0	10:4	6	10
2		1. FC Nürnberg	6	2	4	0	7:3	4	10
3		Werder Bremen	6	3	1	2	12:9	3	10
4		Bayern München	6	3	1	2	7:5	2	10
5		FC Schalke 04	6	3	1	2	7:6	1	10
6		Alemannia Aachen	6	3	0	3	10:9	1	9
7		Bor. Mönchengladbach	6	3	0	3	6:8	-2	9
8		Bayer Leverkusen	6	2	2	2	10:8	2	8
9		Eintracht Frankfurt	6	1	5	0	8:6	2	8
10		Borussia Dortmund	6	2	2	2	7:7	0	8
11		Energie Cottbus	6	2	2	2	7:8	-1	8
12		VfB Stuttgart	6	2	2	2	10:13	-3	8
13		Arminia Bielefeld	6	2	1	3	9:9	0	7
14		1. FSV Mainz 05	6	1	4	1	6:7	-1	7
15		VfL Wolfsburg	6	1	3	2	3:5	-2	6
16		Hamburger SV	6	0	5	1	7:8	-1	5
17		Hannover 96	6	1	2	3	7:15	-8	5
18		VfL Bochum	6	1	1	4	6:9	-3	4
