18/09/2004	14:30	1. FC Kaiserslautern	-	Hamburger SV	2:1 (1:0)	
	14:30	Borussia Dortmund	-	Bayern München	2:2 (1:0)	
	14:30	Arminia Bielefeld	-	1. FSV Mainz 05	1:1 (0:0)	
	14:30	Bayer Leverkusen	-	1. FC Nürnberg	2:2 (0:1)	
	14:30	Hansa Rostock	-	VfL Wolfsburg	1:2 (1:1)	
	14:30	FC Schalke 04	-	Bor. Mönchengladbach	3:2 (1:1)	
	14:30	Werder Bremen	-	Hannover 96	3:0 (1:0)	
19/09/2004	16:30	SC Freiburg	-	VfL Bochum	1:1 (0:0)	
	16:30	Hertha BSC	-	VfB Stuttgart	0:0 (0:0)	
1		VfL Wolfsburg	5	4	0	1	9:4	5	12
2		VfB Stuttgart	5	3	2	0	10:5	5	11
3		Werder Bremen	5	3	0	2	10:5	5	9
4		Bayer Leverkusen	5	2	2	1	10:8	2	8
5		1. FSV Mainz 05	5	2	2	1	8:7	1	8
6		Bayern München	5	2	2	1	7:7	0	8
7		VfL Bochum	5	1	4	0	9:8	1	7
8		SC Freiburg	5	1	4	0	5:4	1	7
9		1. FC Nürnberg	5	1	3	1	9:8	1	6
10		Borussia Dortmund	5	1	3	1	9:9	0	6
11		1. FC Kaiserslautern	5	2	0	3	9:11	-2	6
12		FC Schalke 04	5	2	0	3	5:9	-4	6
13		Bor. Mönchengladbach	5	1	2	2	8:8	0	5
14		Hertha BSC	5	0	5	0	4:4	0	5
15		Arminia Bielefeld	5	1	2	2	3:4	-1	5
16		Hansa Rostock	5	1	1	3	5:9	-4	4
17		Hamburger SV	5	1	0	4	6:11	-5	3
18		Hannover 96	5	0	2	3	4:9	-5	2
