23/06/1972	19:00	1. FC Köln	-	MSV Duisburg	4:1 (3:1)	
	19:00	Rot-Weiß Oberhausen	-	Bor. Mönchengladbach	0:4 (0:2)	
24/06/1972	14:30	Borussia Dortmund	-	Bayern München	0:1 (0:1)	
	14:30	Fortuna Düsseldorf	-	VfL Bochum	3:1 (3:1)	
	14:30	FC Schalke 04	-	VfB Stuttgart	2:1 (1:1)	
	14:30	Hertha BSC	-	Arminia Bielefeld	1:1 (1:1)	
	14:30	Werder Bremen	-	Hamburger SV	4:0 (2:0)	
	14:30	Eintracht Braunschweig	-	1. FC Kaiserslautern	1:1 (0:0)	
	14:30	Eintracht Frankfurt	-	Hannover 96	3:1 (1:0)	
1		Bayern München	33	23	7	3	96:37	59	53:13
2		FC Schalke 04	33	24	4	5	75:30	45	52:14
3		Bor. Mönchengladbach	33	18	6	9	80:38	42	42:24
4		1. FC Köln	33	15	12	6	63:43	20	42:24
5		Eintracht Frankfurt	33	15	7	11	70:61	9	37:29
6		Hertha BSC	33	14	9	10	44:51	-7	37:29
7		1. FC Kaiserslautern	33	14	6	13	59:53	6	34:32
8		VfB Stuttgart	33	12	9	12	49:55	-6	33:33
9		Hamburger SV	33	13	6	14	51:51	0	32:34
10		VfL Bochum	33	13	6	14	55:67	-12	32:34
11		Werder Bremen	33	11	8	14	61:56	5	30:36
12		Fortuna Düsseldorf	33	10	10	13	39:50	-11	30:36
13		Eintracht Braunschweig	33	7	15	11	36:47	-11	29:37
14		MSV Duisburg	33	10	7	16	36:50	-14	27:39
15		Rot-Weiß Oberhausen	33	7	10	16	33:66	-33	24:42
16		Hannover 96	33	10	3	20	52:66	-14	23:43
17		Borussia Dortmund	33	5	8	20	31:81	-50	18:48
18		Arminia Bielefeld	33	6	7	20	0:0	6	0:-2
