15/09/1979	14:30	Hamburger SV	-	1. FC Kaiserslautern	1:0 (0:0)	
	14:30	SV Bayer 04 Leverkusen	-	1. FC Köln	1:1 (0:0)	
	14:30	Eintracht Braunschweig	-	Werder Bremen	1:2 (0:0)	
	14:30	VfB Stuttgart	-	Bayer 05 Uerdingen	2:0 (1:0)	
	14:30	Fortuna Düsseldorf	-	TSV 1860 München	4:0 (2:0)	
	14:30	Borussia Dortmund	-	VfL Bochum	2:2 (2:1)	
	14:30	Bayern München	-	Hertha BSC	1:1 (0:0)	
	14:30	Bor. Mönchengladbach	-	MSV Duisburg	6:0 (1:0)	
	14:30	FC Schalke 04	-	Eintracht Frankfurt	1:0 (1:0)	
1		Hamburger SV	6	4	1	1	13:5	8	9:3
2		Borussia Dortmund	6	4	1	1	12:6	6	9:3
		VfB Stuttgart	6	4	1	1	12:6	6	9:3
4		Eintracht Frankfurt	6	4	0	2	11:5	6	8:4
5		Bayern München	6	2	3	1	8:6	2	7:5
		FC Schalke 04	6	2	3	1	8:6	2	7:5
7		MSV Duisburg	6	3	1	2	11:10	1	7:5
8		1. FC Köln	6	2	2	2	13:9	4	6:6
9		Bor. Mönchengladbach	6	2	2	2	10:8	2	6:6
10		Bayer 05 Uerdingen	6	3	0	3	6:7	-1	6:6
11		Werder Bremen	6	3	0	3	9:13	-4	6:6
12		1. FC Kaiserslautern	6	2	1	3	10:9	1	5:7
13		Fortuna Düsseldorf	6	2	1	3	11:12	-1	5:7
14		SV Bayer 04 Leverkusen	6	2	1	3	7:14	-7	5:7
15		TSV 1860 München	6	2	0	4	6:10	-4	4:8
16		Hertha BSC	6	1	2	3	6:11	-5	4:8
17		Eintracht Braunschweig	6	1	1	4	5:15	-10	3:9
18		VfL Bochum	6	0	2	4	2:8	-6	2:10
