19/05/1972	19:00	Eintracht Braunschweig	-	Rot-Weiß Oberhausen	0:0 (0:0)	
	19:00	Borussia Dortmund	-	VfL Bochum	1:1 (1:0)	
20/05/1972	14:30	FC Schalke 04	-	Arminia Bielefeld	6:2 (3:1)	
	14:30	1. FC Köln	-	Bayern München	1:4 (0:2)	
	14:30	Eintracht Frankfurt	-	VfB Stuttgart	4:1 (2:0)	
	14:30	Fortuna Düsseldorf	-	1. FC Kaiserslautern	0:3 (0:1)	
	14:30	Hamburger SV	-	Hannover 96	2:0 (1:0)	
	14:30	MSV Duisburg	-	Werder Bremen	2:0 (1:0)	
27/05/1972	14:30	Hertha BSC	-	Bor. Mönchengladbach	2:1 (2:0)	
1		Bayern München	31	21	7	3	89:34	55	49:13
2		FC Schalke 04	31	22	4	5	71:29	42	48:14
3		Bor. Mönchengladbach	31	16	6	9	72:37	35	38:24
4		1. FC Köln	31	13	12	6	55:41	14	38:24
5		Eintracht Frankfurt	31	14	7	10	64:54	10	35:27
6		Hertha BSC	31	13	8	10	39:47	-8	34:28
7		1. FC Kaiserslautern	31	14	5	12	55:48	7	33:29
8		VfL Bochum	31	13	6	12	54:62	-8	32:30
9		VfB Stuttgart	31	11	9	11	46:53	-7	31:31
10		Hamburger SV	31	12	6	13	49:47	2	30:32
11		Eintracht Braunschweig	31	7	14	10	34:42	-8	28:34
12		Werder Bremen	31	10	7	14	55:54	1	27:35
13		MSV Duisburg	31	10	7	14	35:44	-9	27:35
14		Fortuna Düsseldorf	31	8	10	13	33:48	-15	26:36
15		Hannover 96	31	10	3	18	50:59	-9	23:39
16		Rot-Weiß Oberhausen	31	7	9	15	31:60	-29	23:39
17		Borussia Dortmund	31	5	8	18	31:78	-47	18:44
18		Arminia Bielefeld	31	6	6	19	0:0	8	-1:-5
