08/06/1985	14:30	Borussia Dortmund	-	Werder Bremen	2:0 (0:0)	
	14:30	Bor. Mönchengladbach	-	Eintracht Frankfurt	3:3 (1:2)	
	14:30	VfL Bochum	-	Fortuna Düsseldorf	1:0 (1:0)	
	14:30	Bayer Leverkusen	-	Waldhof Mannheim	2:1 (2:0)	
	14:30	Karlsruher SC	-	VfB Stuttgart	1:1 (0:1)	
	14:30	1. FC Kaiserslautern	-	1. FC Köln	6:0 (2:0)	
	14:30	Eintracht Braunschweig	-	Bayern München	0:1 (0:0)	
	14:30	Arminia Bielefeld	-	Bayer 05 Uerdingen	1:0 (1:0)	
	14:30	Hamburger SV	-	FC Schalke 04	2:0 (1:0)	
1		Bayern München	34	21	8	5	79:38	41	50:18
2		Werder Bremen	34	18	10	6	87:51	36	46:22
3		1. FC Köln	34	18	4	12	69:66	3	40:28
4		Bor. Mönchengladbach	34	15	9	10	77:53	24	39:29
5		Hamburger SV	34	14	9	11	58:49	9	37:31
6		Waldhof Mannheim	34	13	11	10	47:50	-3	37:31
7		Bayer 05 Uerdingen	34	14	8	12	57:52	5	36:32
8		FC Schalke 04	34	13	8	13	63:62	1	34:34
9		VfL Bochum	34	12	10	12	52:54	-2	34:34
10		VfB Stuttgart	34	14	5	15	79:59	20	33:35
11		1. FC Kaiserslautern	34	11	11	12	56:60	-4	33:35
12		Eintracht Frankfurt	34	10	12	12	62:67	-5	32:36
13		Bayer Leverkusen	34	9	13	12	52:54	-2	31:37
14		Borussia Dortmund	34	13	4	17	51:65	-14	30:38
15		Fortuna Düsseldorf	34	10	9	15	53:66	-13	29:39
16		Arminia Bielefeld	34	8	13	13	46:61	-15	29:39
17		Karlsruher SC	34	5	12	17	47:88	-41	22:46
18		Eintracht Braunschweig	34	9	2	23	39:79	-40	20:48
