27/08/1991	17:30	SG Wattenscheid 09	-	Hansa Rostock	0:0 (0:0)	
	18:30	MSV Duisburg	-	Karlsruher SC	6:2 (5:1)	
	19:00	Bor. Mönchengladbach	-	Fortuna Düsseldorf	3:1 (1:0)	
	19:00	Bayer Leverkusen	-	Werder Bremen	0:0 (0:0)	
	19:00	VfB Stuttgart	-	FC Schalke 04	1:0 (1:0)	
28/08/1991	19:00	Borussia Dortmund	-	Dynamo Dresden	4:0 (0:0)	
	19:00	Bayern München	-	VfL Bochum	0:2 (0:0)	
	19:00	1. FC Nürnberg	-	1. FC Köln	4:0 (4:0)	
	19:00	Eintracht Frankfurt	-	1. FC Kaiserslautern	2:0 (0:0)	
	19:00	Hamburger SV	-	Stuttgarter Kickers	0:3 (0:1)	
